method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,144600,"[0, 2, 3, 6]",757,494,70918,121771,1.0,0.946360153256705,0.9409563740579556,0.8955001066325442,True
greedy-AV,3,182000,"[0, 1, 3]",742,426,72987,90525,0.9801849405548216,0.8160919540229885,0.9684083430633691,0.6657180047212479,True
greedy-AV/cost,4,144600,"[0, 2, 3, 6]",757,494,70918,121771,1.0,0.946360153256705,0.9409563740579556,0.8955001066325442,True
greedy-AV/cost^2,4,144600,"[0, 2, 3, 6]",757,494,70918,121771,1.0,0.946360153256705,0.9409563740579556,0.8955001066325442,True
greedy-CC,2,179000,"[0, 5]",443,419,56047,87571,0.5852047556142669,0.8026819923371648,0.7436445175671372,0.6439943815680131,True
greedy-PAV,3,187600,"[0, 1, 6]",728,479,75368,114481,0.9616908850726552,0.9176245210727969,1.0,0.8418896757635258,True
