method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
greedy-AV,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
greedy-AV/cost,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
greedy-AV/cost^2,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
greedy-CC,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
greedy-PAV,5,406000,"[0, 1, 2, 7, 8]",1728,910,260108,413595,1.0,1.0,1.0,1.0,True,0.34595599185281645
