method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
greedy-AV,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
greedy-AV/cost,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
greedy-CC,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
greedy-PAV,8,462000,"[0, 1, 2, 3, 4, 5, 7, 9]",2100,916,251314,419070,1.0,1.0,1.0,1.0,True
