method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
greedy-AV,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
greedy-AV/cost,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
greedy-CC,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
greedy-PAV,8,403500,"[0, 1, 2, 3, 4, 5, 6, 7]",5770,2426,1703666,2941525,1.0,1.0,1.0,1.0,True
