method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
greedy-AV,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost^2,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
greedy-CC,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
greedy-PAV,5,546512,"[0, 1, 2, 3, 4]",2422,748,257412,279378,1.0,1.0,1.0,1.0,True,1.0
