subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
8,304870,"[1, 3, 9, 11, 5, 8, 10, 2]",1974,455,92549,103285,0.590311004784689,0.9639830508474576,0.9045673570318532,0.929189607398611
9,384770,"[1, 3, 9, 11, 5, 8, 10, 2, 7]",2271,460,95160,105570,0.6791267942583732,0.9745762711864406,0.9300870857075836,0.9497463024937925
10,481770,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 6]",2567,465,97970,107880,0.7676435406698564,0.9851694915254238,0.9575518262586377,0.9705279067256828
11,600870,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 6, 12]",2721,467,98418,108811,0.8136961722488039,0.989406779661017,0.9619305464603716,0.9789035229767175
12,725870,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 6, 12, 4]",2993,470,100141,110215,0.8950358851674641,0.9957627118644068,0.978771026164808,0.9915344200942819
11,606770,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 6, 4]",2839,468,99719,109278,0.8489832535885168,0.9915254237288136,0.974646428117639,0.9831048256504372
10,503870,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 12]",2425,463,95766,106953,0.7251794258373205,0.9809322033898306,0.9360100866947504,0.9621882759365217
11,628870,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 12, 4]",2697,467,98102,108811,0.8065191387559809,0.989406779661017,0.9588419848895058,0.9789035229767175
10,509770,"[1, 3, 9, 11, 5, 8, 10, 2, 7, 4]",2543,465,97599,107880,0.7604665071770335,0.9851694915254238,0.9539256985915768,0.9705279067256828
9,401870,"[1, 3, 9, 11, 5, 8, 10, 2, 6]",2270,460,95518,105570,0.6788277511961722,0.9745762711864406,0.933586152297362,0.9497463024937925
10,520970,"[1, 3, 9, 11, 5, 8, 10, 2, 6, 12]",2424,462,95968,106491,0.7248803827751196,0.9788135593220338,0.9379844203571394,0.9580319550901436
11,645970,"[1, 3, 9, 11, 5, 8, 10, 2, 6, 12, 4]",2696,466,98036,108345,0.80622009569378,0.9872881355932204,0.9581969055740717,0.9747112166684659
10,526870,"[1, 3, 9, 11, 5, 8, 10, 2, 6, 4]",2542,464,97612,107416,0.7601674641148325,0.9830508474576272,0.9540527596688593,0.9663535931483681
9,423970,"[1, 3, 9, 11, 5, 8, 10, 2, 12]",2128,458,93157,104653,0.6363636363636364,0.9703389830508474,0.9105099058770635,0.9414966353593148
10,548970,"[1, 3, 9, 11, 5, 8, 10, 2, 12, 4]",2400,463,95878,106953,0.7177033492822966,0.9809322033898306,0.937104766745184,0.9621882759365217
9,429870,"[1, 3, 9, 11, 5, 8, 10, 2, 4]",2246,461,95373,106030,0.6716507177033493,0.9766949152542372,0.9321689325892115,0.9538846306092339
8,306270,"[1, 3, 9, 11, 5, 8, 10, 7]",2271,460,95160,105570,0.6791267942583732,0.9745762711864406,0.9300870857075836,0.9497463024937925
9,403270,"[1, 3, 9, 11, 5, 8, 10, 7, 6]",2567,465,97970,107880,0.7676435406698564,0.9851694915254238,0.9575518262586377,0.9705279067256828
10,522370,"[1, 3, 9, 11, 5, 8, 10, 7, 6, 12]",2721,467,98418,108811,0.8136961722488039,0.989406779661017,0.9619305464603716,0.9789035229767175
11,647370,"[1, 3, 9, 11, 5, 8, 10, 7, 6, 12, 4]",2993,470,100141,110215,0.8950358851674641,0.9957627118644068,0.978771026164808,0.9915344200942819
10,528270,"[1, 3, 9, 11, 5, 8, 10, 7, 6, 4]",2839,468,99719,109278,0.8489832535885168,0.9915254237288136,0.974646428117639,0.9831048256504372
9,425370,"[1, 3, 9, 11, 5, 8, 10, 7, 12]",2425,463,95766,106953,0.7251794258373205,0.9809322033898306,0.9360100866947504,0.9621882759365217
10,550370,"[1, 3, 9, 11, 5, 8, 10, 7, 12, 4]",2697,467,98102,108811,0.8065191387559809,0.989406779661017,0.9588419848895058,0.9789035229767175
9,431270,"[1, 3, 9, 11, 5, 8, 10, 7, 4]",2543,465,97599,107880,0.7604665071770335,0.9851694915254238,0.9539256985915768,0.9705279067256828
8,323370,"[1, 3, 9, 11, 5, 8, 10, 6]",2270,460,95518,105570,0.6788277511961722,0.9745762711864406,0.933586152297362,0.9497463024937925
9,442470,"[1, 3, 9, 11, 5, 8, 10, 6, 12]",2424,462,95968,106491,0.7248803827751196,0.9788135593220338,0.9379844203571394,0.9580319550901436
10,567470,"[1, 3, 9, 11, 5, 8, 10, 6, 12, 4]",2696,466,98036,108345,0.80622009569378,0.9872881355932204,0.9581969055740717,0.9747112166684659
9,448370,"[1, 3, 9, 11, 5, 8, 10, 6, 4]",2542,464,97612,107416,0.7601674641148325,0.9830508474576272,0.9540527596688593,0.9663535931483681
8,345470,"[1, 3, 9, 11, 5, 8, 10, 12]",2128,458,93157,104653,0.6363636363636364,0.9703389830508474,0.9105099058770635,0.9414966353593148
9,470470,"[1, 3, 9, 11, 5, 8, 10, 12, 4]",2400,463,95878,106953,0.7177033492822966,0.9809322033898306,0.937104766745184,0.9621882759365217
8,351370,"[1, 3, 9, 11, 5, 8, 10, 4]",2246,461,95373,106030,0.6716507177033493,0.9766949152542372,0.9321689325892115,0.9538846306092339
7,252370,"[1, 3, 9, 11, 5, 8, 0]",2065,460,96356,105570,0.6175239234449761,0.9745762711864406,0.9417767048175696,0.9497463024937925
8,330870,"[1, 3, 9, 11, 5, 8, 0, 2]",2065,460,96356,105570,0.6175239234449761,0.9745762711864406,0.9417767048175696,0.9497463024937925
9,410770,"[1, 3, 9, 11, 5, 8, 0, 2, 7]",2362,467,99167,108811,0.7063397129186603,0.989406779661017,0.9692512192976455,0.9789035229767175
