method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
AV,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
greedy-AV/cost,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
greedy-AV/cost^2,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
greedy-CC,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
greedy-PAV,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
PAIRS-AV,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
PAIRS-CC,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
CONS-AV,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
CONS-CC,12,724370,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3344,472,102313,111156,1.0,1.0,1.0,1.0
