method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,1,20000,[2],318,318,50403,50403,0.4562410329985653,0.4562410329985653,0.2077994360065304,0.2077994360065304,True,0.08088025670109972
greedy-AV,1,361890,[0],697,697,242556,242556,1.0,1.0,1.0,1.0,True,0.18242951580791997
greedy-AV/cost,1,20000,[2],318,318,50403,50403,0.4562410329985653,0.4562410329985653,0.2077994360065304,0.2077994360065304,True,0.08088025670109972
greedy-AV/cost^2,1,20000,[2],318,318,50403,50403,0.4562410329985653,0.4562410329985653,0.2077994360065304,0.2077994360065304,True,0.08088025670109972
greedy-CC,1,361890,[0],697,697,242556,242556,1.0,1.0,1.0,1.0,True,0.18242951580791997
greedy-PAV,1,361890,[0],697,697,242556,242556,1.0,1.0,1.0,1.0,True,0.18242951580791997
