subset_size,subset_indices,AV,CC,PAIRS,CONS
5,"[0, 4, 7, 9, 11]",3650,2432,1568518,2956096
5,"[0, 4, 7, 10, 11]",3588,2401,1558467,2881200
5,"[0, 4, 8, 9, 10]",1599,1147,305545,657231
5,"[0, 4, 8, 9, 11]",2565,1911,991981,1825005
5,"[0, 4, 8, 10, 11]",2503,1909,986706,1821186
5,"[0, 4, 9, 10, 11]",2724,1952,1007579,1904176
5,"[0, 5, 6, 7, 8]",2602,1754,902409,1537381
5,"[0, 5, 6, 7, 9]",2823,1864,941362,1736316
5,"[0, 5, 6, 7, 10]",2761,1759,912936,1546161
5,"[0, 5, 6, 7, 11]",3727,2428,1587258,2946378
5,"[0, 5, 6, 8, 9]",1738,1343,368568,901153
5,"[0, 5, 6, 8, 10]",1676,1247,344331,776881
5,"[0, 5, 6, 8, 11]",2642,2014,1037684,2027091
5,"[0, 5, 6, 9, 10]",1897,1365,383604,930930
5,"[0, 5, 6, 9, 11]",2863,2045,1056809,2089990
5,"[0, 5, 6, 10, 11]",2801,2045,1052830,2089990
5,"[0, 5, 7, 8, 9]",2672,1799,920800,1617301
5,"[0, 5, 7, 8, 10]",2610,1623,888102,1316253
5,"[0, 5, 7, 8, 11]",3576,2401,1575164,2881200
5,"[0, 5, 7, 9, 10]",2831,1800,931210,1619100
5,"[0, 5, 7, 9, 11]",3797,2446,1596022,2990235
5,"[0, 5, 7, 10, 11]",3735,2415,1585795,2914905
5,"[0, 5, 8, 9, 10]",1746,1290,362810,831405
5,"[0, 5, 8, 9, 11]",2712,2025,1046344,2049300
5,"[0, 5, 8, 10, 11]",2650,2016,1040595,2031120
5,"[0, 5, 9, 10, 11]",2871,2063,1061512,2126953
5,"[0, 6, 7, 8, 9]",2458,1808,893178,1633528
5,"[0, 6, 7, 8, 10]",2396,1705,865480,1452660
5,"[0, 6, 7, 8, 11]",3362,2393,1542031,2862028
5,"[0, 6, 7, 9, 10]",2617,1816,904381,1648020
5,"[0, 6, 7, 9, 11]",3583,2427,1561093,2943951
5,"[0, 6, 7, 10, 11]",3521,2409,1553359,2900436
5,"[0, 6, 8, 9, 10]",1532,1152,297841,662976
5,"[0, 6, 8, 9, 11]",2498,1855,973069,1719585
5,"[0, 6, 8, 10, 11]",2436,1866,970389,1740045
5,"[0, 6, 9, 10, 11]",2657,1899,989493,1802151
5,"[0, 7, 8, 9, 10]",2466,1751,883825,1532125
5,"[0, 7, 8, 9, 11]",3432,2410,1550776,2902845
5,"[0, 7, 8, 10, 11]",3370,2381,1541276,2833390
5,"[0, 7, 9, 10, 11]",3591,2429,1562110,2948806
5,"[0, 8, 9, 10, 11]",2506,1879,979036,1764381
5,"[1, 2, 3, 4, 5]",2341,1752,1023804,1533876
5,"[1, 2, 3, 4, 6]",2127,1768,978576,1562028
5,"[1, 2, 3, 4, 7]",3061,2032,1453219,2063496
5,"[1, 2, 3, 4, 8]",1976,1670,956971,1393615
5,"[1, 2, 3, 4, 9]",2197,1827,997196,1668051
5,"[1, 2, 3, 4, 10]",2135,1717,977434,1473186
5,"[1, 2, 3, 4, 11]",3101,2227,1518960,2478651
5,"[1, 2, 3, 5, 6]",2274,1800,1015128,1619100
5,"[1, 2, 3, 5, 7]",3208,2036,1470956,2071630
5,"[1, 2, 3, 5, 8]",2123,1700,993514,1444150
5,"[1, 2, 3, 5, 9]",2344,1859,1033745,1727011
5,"[1, 2, 3, 5, 10]",2282,1753,1013935,1535628
5,"[1, 2, 3, 5, 11]",3248,2248,1553692,2525628
5,"[1, 2, 3, 6, 7]",2994,2110,1454053,2224995
5,"[1, 2, 3, 6, 8]",1909,1666,942935,1386945
5,"[1, 2, 3, 6, 9]",2130,1766,979109,1558495
5,"[1, 2, 3, 6, 10]",2068,1737,965054,1507716
5,"[1, 2, 3, 6, 11]",3034,2145,1493605,2299440
5,"[1, 2, 3, 7, 8]",2843,2007,1432457,2013021
5,"[1, 2, 3, 7, 9]",3064,2168,1472492,2349028
5,"[1, 2, 3, 7, 10]",3002,2035,1446855,2069595
5,"[1, 2, 3, 7, 11]",3968,2522,1981536,3178981
5,"[1, 2, 3, 8, 9]",1979,1728,961621,1492128
5,"[1, 2, 3, 8, 10]",1917,1642,943487,1347261
5,"[1, 2, 3, 8, 11]",2883,2123,1483230,2252503
5,"[1, 2, 3, 9, 10]",2138,1791,983589,1602945
5,"[1, 2, 3, 9, 11]",3104,2171,1503298,2355535
5,"[1, 2, 3, 10, 11]",3042,2184,1505056,2383836
5,"[1, 2, 4, 5, 6]",1243,956,188181,456490
5,"[1, 2, 4, 5, 7]",2177,1454,781702,1056331
5,"[1, 2, 4, 5, 8]",1092,813,163129,330078
5,"[1, 2, 4, 5, 9]",1313,1023,207424,522753
5,"[1, 2, 4, 5, 10]",1251,865,184366,373680
5,"[1, 2, 4, 5, 11]",2217,1809,891613,1635336
5,"[1, 2, 4, 6, 7]",1963,1540,756728,1185030
5,"[1, 2, 4, 6, 8]",878,744,98788,276396
5,"[1, 2, 4, 6, 9]",1099,887,138851,392941
5,"[1, 2, 4, 6, 10]",1037,818,121776,334153
5,"[1, 2, 4, 6, 11]",2003,1666,817852,1386945
5,"[1, 2, 4, 7, 8]",1812,1402,731862,982101
5,"[1, 2, 4, 7, 9]",2033,1605,775805,1287210
5,"[1, 2, 4, 7, 10]",1971,1419,746602,1006071
5,"[1, 2, 4, 7, 11]",2937,2279,1438930,2595781
5,"[1, 2, 4, 8, 9]",948,812,118100,329266
5,"[1, 2, 4, 8, 10]",886,675,96745,227475
5,"[1, 2, 4, 8, 11]",1852,1632,805591,1330896
5,"[1, 2, 4, 9, 10]",1107,882,140961,388521
5,"[1, 2, 4, 9, 11]",2073,1686,827069,1420455
5,"[1, 2, 4, 10, 11]",2011,1703,828442,1449253
5,"[1, 2, 5, 6, 7]",2110,1572,784795,1234806
5,"[1, 2, 5, 6, 8]",1025,867,152591,375411
5,"[1, 2, 5, 6, 9]",1246,1006,192621,505515
5,"[1, 2, 5, 6, 10]",1184,940,175388,441330
5,"[1, 2, 5, 6, 11]",2150,1748,868185,1526878
5,"[1, 2, 5, 7, 8]",1959,1435,759940,1028895
5,"[1, 2, 5, 7, 9]",2180,1634,803840,1334161
5,"[1, 2, 5, 7, 10]",2118,1455,774834,1057785
5,"[1, 2, 5, 7, 11]",3084,2281,1463830,2600340
5,"[1, 2, 5, 8, 9]",1095,930,171875,431985
5,"[1, 2, 5, 8, 10]",1033,796,150354,316410
5,"[1, 2, 5, 8, 11]",1999,1712,855925,1464616
5,"[1, 2, 5, 9, 10]",1254,1002,194552,501501
5,"[1, 2, 5, 9, 11]",2220,1769,877440,1563796
5,"[1, 2, 5, 10, 11]",2158,1789,878642,1599366
5,"[1, 2, 6, 7, 8]",1745,1494,732045,1115271
5,"[1, 2, 6, 7, 9]",1966,1627,771720,1322751
5,"[1, 2, 6, 7, 10]",1904,1528,747934,1166628
5,"[1, 2, 6, 7, 11]",2870,2261,1426246,2554930
5,"[1, 2, 6, 8, 9]",881,725,97138,262450
5,"[1, 2, 6, 8, 10]",819,683,81827,232903
5,"[1, 2, 6, 8, 11]",1785,1506,776116,1133265
5,"[1, 2, 6, 9, 10]",1040,821,121781,336610
5,"[1, 2, 6, 9, 11]",2006,1543,795779,1189653
5,"[1, 2, 6, 10, 11]",1944,1599,800689,1277601
5,"[1, 2, 7, 8, 9]",1815,1561,751171,1217580
5,"[1, 2, 7, 8, 10]",1753,1391,723101,966745
5,"[1, 2, 7, 8, 11]",2719,2228,1414111,2480878
5,"[1, 2, 7, 9, 10]",1974,1586,766913,1256905
5,"[1, 2, 7, 9, 11]",2940,2287,1435557,2614041
5,"[1, 2, 7, 10, 11]",2878,2262,1429960,2557191
5,"[1, 2, 8, 9, 10]",889,745,101051,277140
5,"[1, 2, 8, 9, 11]",1855,1522,785340,1157481
5,"[1, 2, 8, 10, 11]",1793,1567,788466,1226961
5,"[1, 2, 9, 10, 11]",2014,1620,809915,1311390
5,"[1, 3, 4, 5, 6]",2545,1878,1047990,1762503
5,"[1, 3, 4, 5, 7]",3479,2066,1491672,2133145
5,"[1, 3, 4, 5, 8]",2394,1780,1026394,1583310
5,"[1, 3, 4, 5, 9]",2615,1929,1066516,1859556
5,"[1, 3, 4, 5, 10]",2553,1811,1045318,1638955
5,"[1, 3, 4, 5, 11]",3519,2315,1585834,2678455
5,"[1, 3, 4, 6, 7]",3265,2156,1477190,2323090
5,"[1, 3, 4, 6, 8]",2180,1794,981126,1608321
5,"[1, 3, 4, 6, 9]",2401,1888,1017207,1781328
5,"[1, 3, 4, 6, 10]",2339,1842,1001572,1695561
5,"[1, 3, 4, 6, 11]",3305,2259,1531025,2550411
5,"[1, 3, 4, 7, 8]",3114,2054,1455612,2108431
5,"[1, 3, 4, 7, 9]",3335,2206,1495546,2432115
5,"[1, 3, 4, 7, 10]",3273,2068,1468931,2137278
5,"[1, 3, 4, 7, 11]",4239,2556,2003944,3265290
5,"[1, 3, 4, 8, 9]",2250,1849,999720,1708476
5,"[1, 3, 4, 8, 10]",2188,1745,980007,1521640
5,"[1, 3, 4, 8, 11]",3154,2238,1520650,2503203
5,"[1, 3, 4, 9, 10]",2409,1889,1020023,1783216
5,"[1, 3, 4, 9, 11]",3375,2281,1540652,2600340
5,"[1, 3, 4, 10, 11]",3313,2278,1540830,2593503
5,"[1, 3, 5, 6, 7]",3412,2157,1494862,2325246
5,"[1, 3, 5, 6, 8]",2327,1820,1017594,1655290
5,"[1, 3, 5, 6, 9]",2548,1915,1053681,1832655
5,"[1, 3, 5, 6, 10]",2486,1873,1038000,1753128
5,"[1, 3, 5, 6, 11]",3452,2276,1565684,2588950
5,"[1, 3, 5, 7, 8]",3261,2054,1473280,2108431
5,"[1, 3, 5, 7, 9]",3482,2207,1513208,2434321
5,"[1, 3, 5, 7, 10]",3420,2076,1486859,2153850
5,"[1, 3, 5, 7, 11]",4386,2548,2019875,3244878
5,"[1, 3, 5, 8, 9]",2397,1874,1036183,1755001
5,"[1, 3, 5, 8, 10]",2335,1775,1016422,1574425
5,"[1, 3, 5, 8, 11]",3301,2253,1555300,2536878
5,"[1, 3, 5, 9, 10]",2556,1921,1056450,1844160
5,"[1, 3, 5, 9, 11]",3522,2300,1575351,2643850
5,"[1, 3, 5, 10, 11]",3460,2300,1575462,2643850
5,"[1, 3, 6, 7, 8]",3047,2124,1456324,2254626
5,"[1, 3, 6, 7, 9]",3268,2222,1492217,2467531
5,"[1, 3, 6, 7, 10]",3206,2154,1470717,2318781
5,"[1, 3, 6, 7, 11]",4172,2551,1993365,3252525
5,"[1, 3, 6, 8, 9]",2183,1782,981529,1586871
5,"[1, 3, 6, 8, 10]",2121,1758,967514,1544403
5,"[1, 3, 6, 8, 11]",3087,2153,1495230,2316628
5,"[1, 3, 6, 9, 10]",2342,1846,1003487,1702935
5,"[1, 3, 6, 9, 11]",3308,2184,1513520,2383836
5,"[1, 3, 6, 10, 11]",3246,2210,1517000,2440945
5,"[1, 3, 7, 8, 9]",3117,2180,1474745,2375110
5,"[1, 3, 7, 8, 10]",3055,2054,1449172,2108431
5,"[1, 3, 7, 8, 11]",4021,2526,1982983,3189075
5,"[1, 3, 7, 9, 10]",3276,2201,1488985,2421100
5,"[1, 3, 7, 9, 11]",4242,2576,2002985,3316600
5,"[1, 3, 7, 10, 11]",4180,2548,1997159,3244878
5,"[1, 3, 8, 9, 10]",2191,1808,986022,1633528
5,"[1, 3, 8, 9, 11]",3157,2175,1504884,2364225
5,"[1, 3, 8, 10, 11]",3095,2192,1506662,2401336
5,"[1, 3, 9, 10, 11]",3316,2236,1526643,2498730
5,"[1, 4, 5, 6, 7]",2381,1627,809631,1322751
5,"[1, 4, 5, 6, 8]",1296,1002,191457,501501
5,"[1, 4, 5, 6, 9]",1517,1133,231390,641278
5,"[1, 4, 5, 6, 10]",1455,1051,212659,551775
5,"[1, 4, 5, 6, 11]",2421,1857,905941,1723296
5,"[1, 4, 5, 7, 8]",2230,1492,784797,1112286
5,"[1, 4, 5, 7, 9]",2451,1685,828613,1418770
5,"[1, 4, 5, 7, 10]",2389,1498,798626,1121253
5,"[1, 4, 5, 7, 11]",3355,2323,1487735,2697003
5,"[1, 4, 5, 8, 9]",1366,1062,210670,563391
5,"[1, 4, 5, 8, 10]",1304,910,187652,413595
5,"[1, 4, 5, 8, 11]",2270,1824,893700,1662576
5,"[1, 4, 5, 9, 10]",1525,1110,231759,615495
5,"[1, 4, 5, 9, 11]",2491,1878,915155,1762503
5,"[1, 4, 5, 10, 11]",2429,1880,914850,1766260
5,"[1, 4, 6, 7, 8]",2016,1576,759780,1241100
5,"[1, 4, 6, 7, 9]",2237,1700,799361,1444150
5,"[1, 4, 6, 7, 10]",2175,1592,774499,1266436
5,"[1, 4, 6, 7, 11]",3141,2323,1452956,2697003
5,"[1, 4, 6, 8, 9]",1152,926,142071,428275
5,"[1, 4, 6, 8, 10]",1090,863,125032,371953
5,"[1, 4, 6, 8, 11]",2056,1683,819948,1415403
5,"[1, 4, 6, 9, 10]",1311,992,164898,491536
5,"[1, 4, 6, 9, 11]",2277,1720,839567,1478340
5,"[1, 4, 6, 10, 11]",2215,1750,842730,1530375
5,"[1, 4, 7, 8, 9]",2086,1638,778838,1340703
5,"[1, 4, 7, 8, 10]",2024,1458,749693,1062153
5,"[1, 4, 7, 8, 11]",2990,2291,1440838,2623195
5,"[1, 4, 7, 9, 10]",2245,1647,793419,1355481
5,"[1, 4, 7, 9, 11]",3211,2347,1462229,2753031
5,"[1, 4, 7, 10, 11]",3149,2313,1455551,2673828
5,"[1, 4, 8, 9, 10]",1160,921,144187,423660
5,"[1, 4, 8, 9, 11]",2126,1700,829130,1444150
5,"[1, 4, 8, 10, 11]",2064,1719,830516,1476621
5,"[1, 4, 9, 10, 11]",2285,1772,851921,1569106
5,"[1, 5, 6, 7, 8]",2163,1604,787781,1285606
5,"[1, 5, 6, 7, 9]",2384,1725,827322,1486950
5,"[1, 5, 6, 7, 10]",2322,1625,802661,1319500
5,"[1, 5, 6, 7, 11]",3288,2319,1477780,2687721
5,"[1, 5, 6, 8, 9]",1299,1038,195758,538203
5,"[1, 5, 6, 8, 10]",1237,978,178556,477753
5,"[1, 5, 6, 8, 11]",2203,1757,870195,1542646
5,"[1, 5, 6, 9, 10]",1458,1106,218405,611065
5,"[1, 5, 6, 9, 11]",2424,1795,889849,1610115
5,"[1, 5, 6, 10, 11]",2362,1829,892846,1671706
5,"[1, 5, 7, 8, 9]",2233,1662,806805,1380291
5,"[1, 5, 7, 8, 10]",2171,1489,777853,1107816
5,"[1, 5, 7, 8, 11]",3137,2287,1465667,2614041
5,"[1, 5, 7, 9, 10]",2392,1677,821552,1405326
5,"[1, 5, 7, 9, 11]",3358,2345,1487082,2748340
5,"[1, 5, 7, 10, 11]",3296,2317,1480587,2683086
5,"[1, 5, 8, 9, 10]",1307,1033,197688,533028
5,"[1, 5, 8, 9, 11]",2273,1774,879413,1572651
5,"[1, 5, 8, 10, 11]",2211,1796,880623,1611910
5,"[1, 5, 9, 10, 11]",2432,1853,902074,1715878
5,"[1, 6, 7, 8, 9]",2019,1653,774646,1365378
5,"[1, 6, 7, 8, 10]",1957,1559,750909,1214461
5,"[1, 6, 7, 8, 11]",2923,2268,1428081,2570778
5,"[1, 6, 7, 9, 10]",2178,1678,790375,1407003
5,"[1, 6, 7, 9, 11]",3144,2310,1447670,2666895
5,"[1, 6, 7, 10, 11]",3082,2301,1443881,2646150
5,"[1, 6, 8, 9, 10]",1093,853,124905,363378
5,"[1, 6, 8, 9, 11]",2059,1553,797783,1205128
5,"[1, 6, 8, 10, 11]",1997,1610,802694,1295245
5,"[1, 6, 9, 10, 11]",2218,1647,822296,1355481
5,"[1, 7, 8, 9, 10]",2027,1615,769868,1303305
5,"[1, 7, 8, 9, 11]",2993,2292,1437363,2625486
5,"[1, 7, 8, 10, 11]",2931,2269,1431787,2573046
5,"[1, 7, 9, 10, 11]",3152,2327,1453153,2706301
5,"[1, 8, 9, 10, 11]",2067,1628,811884,1324378
5,"[2, 3, 4, 5, 6]",2385,1834,1035883,1680861
5,"[2, 3, 4, 5, 7]",3319,2065,1486678,2131080
5,"[2, 3, 4, 5, 8]",2234,1740,1014307,1512930
5,"[2, 3, 4, 5, 9]",2455,1893,1054448,1790778
5,"[2, 3, 4, 5, 10]",2393,1786,1034438,1594005
5,"[2, 3, 4, 5, 11]",3359,2274,1573789,2584401
5,"[2, 3, 4, 6, 7]",3105,2141,1470890,2290870
5,"[2, 3, 4, 6, 8]",2020,1712,965811,1464616
5,"[2, 3, 4, 6, 9]",2241,1809,1001911,1635336
5,"[2, 3, 4, 6, 10]",2179,1788,987954,1597578
5,"[2, 3, 4, 6, 11]",3145,2180,1515788,2375110
5,"[2, 3, 4, 7, 8]",2954,2043,1449329,2085903
5,"[2, 3, 4, 7, 9]",3175,2199,1489285,2416701
5,"[2, 3, 4, 7, 10]",3113,2064,1463297,2129016
5,"[2, 3, 4, 7, 11]",4079,2545,1997723,3237240
5,"[2, 3, 4, 8, 9]",2090,1773,984441,1570878
5,"[2, 3, 4, 8, 10]",2028,1694,966404,1433971
5,"[2, 3, 4, 8, 11]",2994,2161,1505430,2333880
5,"[2, 3, 4, 9, 10]",2249,1842,1006443,1695561
5,"[2, 3, 4, 9, 11]",3215,2205,1525439,2429910
5,"[2, 3, 4, 10, 11]",3153,2228,1527298,2480878
5,"[2, 3, 5, 6, 7]",3252,2147,1489495,2303731
5,"[2, 3, 5, 6, 8]",2167,1761,1004416,1549680
5,"[2, 3, 5, 6, 9]",2388,1860,1040520,1728870
5,"[2, 3, 5, 6, 10]",2326,1837,1026309,1686366
5,"[2, 3, 5, 6, 11]",3292,2219,1552562,2460871
5,"[2, 3, 5, 7, 8]",3101,2048,1467930,2096128
5,"[2, 3, 5, 7, 9]",3322,2205,1507880,2429910
5,"[2, 3, 5, 7, 10]",3260,2078,1482142,2158003
5,"[2, 3, 5, 7, 11]",4226,2541,2014569,3227070
5,"[2, 3, 5, 8, 9]",2237,1822,1023043,1658931
5,"[2, 3, 5, 8, 10]",2175,1742,1004746,1516411
5,"[2, 3, 5, 8, 11]",3141,2198,1542199,2414503
5,"[2, 3, 5, 9, 10]",2396,1893,1044799,1790778
5,"[2, 3, 5, 9, 11]",3362,2247,1562255,2523381
5,"[2, 3, 5, 10, 11]",3300,2267,1563839,2568511
5,"[2, 3, 6, 7, 8]",2887,2106,1449642,2216565
5,"[2, 3, 6, 7, 9]",3108,2207,1485557,2434321
5,"[2, 3, 6, 7, 10]",3046,2145,1464792,2299440
5,"[2, 3, 6, 7, 11]",4012,2536,1986765,3214380
5,"[2, 3, 6, 8, 9]",2023,1673,964699,1398628
5,"[2, 3, 6, 8, 10]",1961,1687,952743,1422141
5,"[2, 3, 6, 8, 11]",2927,2045,1478476,2089990
5,"[2, 3, 6, 9, 10]",2182,1780,988742,1583310
5,"[2, 3, 6, 9, 11]",3148,2075,1496761,2151775
5,"[2, 3, 6, 10, 11]",3086,2144,1502321,2297296
5,"[2, 3, 7, 8, 9]",2957,2168,1468099,2349028
5,"[2, 3, 7, 8, 10]",2895,2048,1443259,2096128
5,"[2, 3, 7, 8, 11]",3861,2513,1976397,3156328
5,"[2, 3, 7, 9, 10]",3116,2199,1483098,2416701
5,"[2, 3, 7, 9, 11]",4082,2564,1996409,3285766
5,"[2, 3, 7, 10, 11]",4020,2543,1991321,3232153
5,"[2, 3, 8, 9, 10]",2031,1744,971289,1519896
5,"[2, 3, 8, 9, 11]",2997,2070,1488154,2141415
5,"[2, 3, 8, 10, 11]",2935,2127,1491995,2261001
5,"[2, 3, 9, 10, 11]",3156,2173,1511989,2359878
5,"[2, 4, 5, 6, 7]",2221,1615,803791,1303305
5,"[2, 4, 5, 6, 8]",1136,935,177889,436645
5,"[2, 4, 5, 6, 9]",1357,1070,217844,571915
5,"[2, 4, 5, 6, 10]",1295,1002,200360,501501
5,"[2, 4, 5, 6, 11]",2261,1794,892491,1608321
5,"[2, 4, 5, 7, 8]",2070,1483,778968,1098903
5,"[2, 4, 5, 7, 9]",2291,1680,822810,1410360
5,"[2, 4, 5, 7, 10]",2229,1497,793349,1119756
5,"[2, 4, 5, 7, 11]",3195,2315,1482003,2678455
5,"[2, 4, 5, 8, 9]",1206,1000,197136,499500
5,"[2, 4, 5, 8, 10]",1144,864,175366,372816
5,"[2, 4, 5, 8, 11]",2110,1765,880272,1556730
5,"[2, 4, 5, 9, 10]",1365,1067,219496,568711
5,"[2, 4, 5, 9, 11]",2331,1818,901728,1651653
5,"[2, 4, 5, 10, 11]",2269,1835,902669,1682695
5,"[2, 4, 6, 7, 8]",1856,1545,752404,1192740
5,"[2, 4, 6, 7, 9]",2077,1675,792016,1401975
5,"[2, 4, 6, 7, 10]",2015,1572,767814,1234806
5,"[2, 4, 6, 7, 11]",2981,2300,1445734,2643850
5,"[2, 4, 6, 8, 9]",992,806,124897,324415
5,"[2, 4, 6, 8, 10]",930,774,109646,299151
5,"[2, 4, 6, 8, 11]",1896,1573,802942,1236378
5,"[2, 4, 6, 9, 10]",1151,909,149541,412686
5,"[2, 4, 6, 9, 11]",2117,1609,822563,1293636
5,"[2, 4, 6, 10, 11]",2055,1671,827513,1395285
5,"[2, 4, 7, 8, 9]",1926,1612,771496,1298466
5,"[2, 4, 7, 8, 10]",1864,1439,743012,1034641
5,"[2, 4, 7, 8, 11]",2830,2271,1433631,2577585
5,"[2, 4, 7, 9, 10]",2085,1633,786770,1332528
5,"[2, 4, 7, 9, 11]",3051,2327,1455030,2706301
5,"[2, 4, 7, 10, 11]",2989,2298,1449008,2639253
5,"[2, 4, 8, 9, 10]",1000,837,128835,349866
5,"[2, 4, 8, 9, 11]",1966,1591,812144,1264845
5,"[2, 4, 8, 10, 11]",1904,1643,815316,1348903
5,"[2, 4, 9, 10, 11]",2125,1695,836726,1435665
5,"[2, 5, 6, 7, 8]",2003,1590,781590,1263255
5,"[2, 5, 6, 7, 9]",2224,1716,821160,1471470
5,"[2, 5, 6, 7, 10]",2162,1621,797130,1313010
5,"[2, 5, 6, 7, 11]",3128,2309,1471704,2664586
5,"[2, 5, 6, 8, 9]",1139,959,181091,459361
5,"[2, 5, 6, 8, 10]",1077,922,165430,424581
5,"[2, 5, 6, 8, 11]",2043,1682,855650,1413721
5,"[2, 5, 6, 9, 10]",1298,1056,205308,557040
5,"[2, 5, 6, 9, 11]",2264,1720,875304,1478340
5,"[2, 5, 6, 10, 11]",2202,1778,879845,1579753
5,"[2, 5, 7, 8, 9]",2073,1653,800648,1365378
5,"[2, 5, 7, 8, 10]",2011,1487,772328,1104841
5,"[2, 5, 7, 8, 11]",2977,2280,1459606,2598060
5,"[2, 5, 7, 9, 10]",2232,1679,816057,1408681
5,"[2, 5, 7, 9, 11]",3198,2338,1481029,2731953
5,"[2, 5, 7, 10, 11]",3136,2316,1475164,2680770
5,"[2, 5, 8, 9, 10]",1147,983,184598,482653
5,"[2, 5, 8, 9, 11]",2113,1702,864891,1447551
5,"[2, 5, 8, 10, 11]",2051,1748,867639,1526878
5,"[2, 5, 9, 10, 11]",2272,1805,889097,1628110
5,"[2, 6, 7, 8, 9]",1859,1625,766919,1319500
5,"[2, 6, 7, 8, 10]",1797,1538,743947,1181953
5,"[2, 6, 7, 8, 11]",2763,2247,1420505,2523381
5,"[2, 6, 7, 9, 10]",2018,1664,783449,1383616
5,"[2, 6, 7, 9, 11]",2984,2289,1440103,2618616
5,"[2, 6, 7, 10, 11]",2922,2288,1437078,2616328
5,"[2, 6, 8, 9, 10]",933,749,108320,280126
5,"[2, 6, 8, 9, 11]",1899,1407,779154,989121
5,"[2, 6, 8, 10, 11]",1837,1515,786279,1146855
5,"[2, 6, 9, 10, 11]",2058,1553,805890,1205128
5,"[2, 7, 8, 9, 10]",1867,1599,762940,1277601
5,"[2, 7, 8, 9, 11]",2833,2273,1429808,2582128
5,"[2, 7, 8, 10, 11]",2771,2258,1424994,2548153
5,"[2, 7, 9, 10, 11]",2992,2316,1446372,2680770
5,"[2, 8, 9, 10, 11]",1907,1536,795492,1178880
5,"[3, 4, 5, 6, 7]",3523,2185,1510599,2386020
5,"[3, 4, 5, 6, 8]",2438,1859,1038405,1727011
5,"[3, 4, 5, 6, 9]",2659,1950,1074405,1900275
5,"[3, 4, 5, 6, 10]",2597,1906,1058521,1815465
5,"[3, 4, 5, 6, 11]",3563,2302,1585803,2648451
5,"[3, 4, 5, 7, 8]",3372,2087,1489052,2176741
5,"[3, 4, 5, 7, 9]",3593,2235,1528903,2496495
5,"[3, 4, 5, 7, 10]",3531,2100,1502142,2203950
5,"[3, 4, 5, 7, 11]",4497,2568,2034980,3296028
5,"[3, 4, 5, 8, 9]",2508,1913,1056942,1828828
5,"[3, 4, 5, 8, 10]",2446,1811,1036975,1638955
5,"[3, 4, 5, 8, 11]",3412,2284,1575453,2607186
5,"[3, 4, 5, 9, 10]",2667,1954,1076927,1908081
5,"[3, 4, 5, 9, 11]",3633,2326,1595432,2703975
5,"[3, 4, 5, 10, 11]",3571,2326,1595343,2703975
5,"[3, 4, 6, 7, 8]",3158,2159,1473211,2329561
5,"[3, 4, 6, 7, 9]",3379,2254,1509028,2539131
5,"[3, 4, 6, 7, 10]",3317,2183,1487176,2381653
5,"[3, 4, 6, 7, 11]",4283,2573,2009569,3308878
5,"[3, 4, 6, 8, 9]",2294,1828,1004370,1669878
5,"[3, 4, 6, 8, 10]",2232,1811,990452,1638955
5,"[3, 4, 6, 8, 11]",3198,2190,1517450,2396955
5,"[3, 4, 6, 9, 10]",2453,1899,1026364,1802151
5,"[3, 4, 6, 9, 11]",3419,2219,1535684,2460871
5,"[3, 4, 6, 10, 11]",3357,2255,1539265,2541385
5,"[3, 4, 7, 8, 9]",3228,2215,1491588,2452005
5,"[3, 4, 7, 8, 10]",3166,2086,1465660,2174655
5,"[3, 4, 7, 8, 11]",4132,2552,1999218,3255076
5,"[3, 4, 7, 9, 10]",3387,2231,1505409,2487565
5,"[3, 4, 7, 9, 11]",4353,2597,2019156,3370906
5,"[3, 4, 7, 10, 11]",4291,2570,2012985,3301165
5,"[3, 4, 8, 9, 10]",2302,1861,1008914,1730730
5,"[3, 4, 8, 9, 11]",3268,2211,1527062,2443155
5,"[3, 4, 8, 10, 11]",3206,2237,1528940,2500966
5,"[3, 4, 9, 10, 11]",3427,2280,1548874,2598060
5,"[3, 5, 6, 7, 8]",3305,2162,1491748,2336041
5,"[3, 5, 6, 7, 9]",3526,2257,1527559,2545896
5,"[3, 5, 6, 7, 10]",3464,2194,1505957,2405721
5,"[3, 5, 6, 7, 11]",4430,2567,2026353,3293461
5,"[3, 5, 6, 8, 9]",2441,1873,1042896,1753128
5,"[3, 5, 6, 8, 10]",2379,1854,1028718,1717731
5,"[3, 5, 6, 8, 11]",3345,2223,1554144,2469753
5,"[3, 5, 6, 9, 10]",2600,1944,1064643,1888596
5,"[3, 5, 6, 9, 11]",3566,2256,1572423,2543640
5,"[3, 5, 6, 10, 11]",3504,2289,1575732,2618616
5,"[3, 5, 7, 8, 9]",3375,2217,1510113,2456436
5,"[3, 5, 7, 8, 10]",3313,2096,1484433,2195560
5,"[3, 5, 7, 8, 11]",4279,2545,2015998,3237240
5,"[3, 5, 7, 9, 10]",3534,2242,1524181,2512161
5,"[3, 5, 7, 9, 11]",4500,2593,2035972,3360528
5,"[3, 5, 7, 10, 11]",4438,2572,2030030,3306306
5,"[3, 5, 8, 9, 10]",2449,1905,1047179,1813560
5,"[3, 5, 8, 9, 11]",3415,2247,1563797,2523381
5,"[3, 5, 8, 10, 11]",3353,2270,1565394,2575315
5,"[3, 5, 9, 10, 11]",3574,2318,1585383,2685403
