subset_size,subset_indices,AV,CC,PAIRS,CONS
3,"[0, 7, 9]",2125,1667,865985,1388611
3,"[0, 7, 10]",2063,1485,833930,1101870
3,"[0, 7, 11]",3029,2340,1525592,2736630
3,"[0, 8, 9]",1040,955,253695,455535
3,"[0, 8, 10]",978,794,226438,314821
3,"[0, 8, 11]",1944,1759,937021,1546161
3,"[0, 9, 10]",1199,991,270099,490545
3,"[0, 9, 11]",2165,1800,957968,1619100
3,"[0, 10, 11]",2103,1804,953533,1626306
3,"[1, 2, 3]",1576,1491,915138,1110795
3,"[1, 2, 4]",545,468,65904,109278
3,"[1, 2, 5]",692,590,119721,173755
3,"[1, 2, 6]",478,459,49300,105111
3,"[1, 2, 7]",1412,1249,699863,779376
3,"[1, 2, 8]",327,304,24204,46056
3,"[1, 2, 9]",548,531,68670,140715
3,"[1, 2, 10]",486,408,49014,83028
3,"[1, 2, 11]",1452,1409,758555,991936
3,"[1, 3, 4]",1847,1619,953365,1309771
3,"[1, 3, 5]",1994,1646,989850,1353835
3,"[1, 3, 6]",1780,1621,939343,1313010
3,"[1, 3, 7]",2714,1966,1429048,1931595
3,"[1, 3, 8]",1629,1517,917719,1149886
3,"[1, 3, 9]",1850,1679,958004,1408681
3,"[1, 3, 10]",1788,1587,939830,1258491
3,"[1, 3, 11]",2754,2094,1480562,2191371
3,"[1, 4, 5]",963,728,158648,264628
3,"[1, 4, 6]",749,674,94399,226801
3,"[1, 4, 7]",1683,1331,727649,885115
3,"[1, 4, 8]",598,522,69308,135981
3,"[1, 4, 9]",819,739,113687,272691
3,"[1, 4, 10]",757,591,92285,174345
3,"[1, 4, 11]",1723,1595,802481,1271215
3,"[1, 5, 6]",896,789,148125,310866
3,"[1, 5, 7]",1830,1358,755657,921403
3,"[1, 5, 8]",745,636,123040,201930
3,"[1, 5, 9]",966,850,167387,360825
3,"[1, 5, 10]",904,707,145832,249571
3,"[1, 5, 11]",1870,1668,852739,1390278
3,"[1, 6, 7]",1616,1432,727859,1024596
3,"[1, 6, 8]",531,504,52600,126756
3,"[1, 6, 9]",752,649,92697,210276
3,"[1, 6, 10]",690,604,77373,182106
3,"[1, 6, 11]",1656,1463,772933,1069453
3,"[1, 7, 8]",1465,1287,702964,827541
3,"[1, 7, 9]",1686,1493,746952,1113778
3,"[1, 7, 10]",1624,1314,718829,862641
3,"[1, 7, 11]",2590,2195,1411166,2407915
3,"[1, 8, 9]",601,572,71944,163306
3,"[1, 8, 10]",539,454,52317,102831
3,"[1, 8, 11]",1505,1423,760654,1011753
3,"[1, 9, 10]",760,664,96576,220116
3,"[1, 9, 11]",1726,1479,782164,1092981
3,"[1, 10, 11]",1664,1523,785292,1159003
3,"[2, 3, 4]",1687,1543,938093,1189653
3,"[2, 3, 5]",1834,1593,976711,1268028
3,"[2, 3, 6]",1620,1506,922499,1133265
3,"[2, 3, 7]",2554,1954,1422412,1908081
3,"[2, 3, 8]",1469,1408,900908,990528
3,"[2, 3, 9]",1690,1573,941201,1236378
3,"[2, 3, 10]",1628,1522,925106,1157481
3,"[2, 3, 11]",2594,1985,1463814,1969120
3,"[2, 4, 5]",803,669,145127,223446
3,"[2, 4, 6]",589,553,77231,152628
3,"[2, 4, 7]",1523,1310,720329,857395
3,"[2, 4, 8]",438,403,52155,81003
3,"[2, 4, 9]",659,624,96555,194376
3,"[2, 4, 10]",597,511,76952,130305
3,"[2, 4, 11]",1563,1485,785490,1101870
3,"[2, 5, 6]",736,707,133456,249571
3,"[2, 5, 7]",1670,1353,749520,914628
3,"[2, 5, 8]",585,558,108393,155403
3,"[2, 5, 9]",806,776,152757,300700
3,"[2, 5, 10]",744,659,132757,216811
3,"[2, 5, 11]",1710,1594,838206,1269621
3,"[2, 6, 7]",1456,1404,720145,984906
3,"[2, 6, 8]",371,340,33770,57630
3,"[2, 6, 9]",592,487,73875,118341
3,"[2, 6, 10]",530,499,60797,124251
3,"[2, 6, 11]",1496,1310,754276,857395
3,"[2, 7, 8]",1305,1261,695259,794430
3,"[2, 7, 9]",1526,1472,739275,1082656
3,"[2, 7, 10]",1464,1303,711927,848253
3,"[2, 7, 11]",2430,2176,1403613,2366400
3,"[2, 8, 9]",441,413,53149,85078
3,"[2, 8, 10]",379,351,35752,61425
3,"[2, 8, 11]",1345,1276,742034,813450
3,"[2, 9, 10]",600,566,80038,159895
3,"[2, 9, 11]",1566,1329,763531,882456
3,"[2, 10, 11]",1504,1429,768897,1020306
3,"[3, 4, 5]",2105,1689,1010723,1425516
3,"[3, 4, 6]",1891,1672,962316,1396956
3,"[3, 4, 7]",2825,2004,1445994,2007006
3,"[3, 4, 8]",1740,1572,940713,1234806
3,"[3, 4, 9]",1961,1729,980921,1493856
3,"[3, 4, 10]",1899,1645,962845,1352190
3,"[3, 4, 11]",2865,2136,1502857,2280180
3,"[3, 5, 6]",2038,1716,1000852,1471470
3,"[3, 5, 7]",2972,2007,1464541,2013021
3,"[3, 5, 8]",1887,1615,979246,1303305
3,"[3, 5, 9]",2108,1775,1019457,1574425
3,"[3, 5, 10]",2046,1690,1001132,1427205
3,"[3, 5, 11]",3012,2168,1539553,2349028
3,"[3, 6, 7]",2758,2076,1446347,2153850
3,"[3, 6, 8]",1673,1526,925007,1163575
3,"[3, 6, 9]",1894,1626,961152,1321125
3,"[3, 6, 10]",1832,1642,949196,1347261
3,"[3, 6, 11]",2798,2010,1475819,2019045
3,"[3, 7, 8]",2607,1971,1424750,1941435
3,"[3, 7, 9]",2828,2132,1464771,2271646
3,"[3, 7, 10]",2766,2008,1439885,2015028
3,"[3, 7, 11]",3732,2495,1973992,3111265
3,"[3, 8, 9]",1743,1589,943683,1261666
3,"[3, 8, 10]",1681,1544,927622,1191196
3,"[3, 8, 11]",2647,1991,1465464,1981045
3,"[3, 9, 10]",1902,1696,967719,1437360
3,"[3, 9, 11]",2868,2037,1485509,2073666
3,"[3, 10, 11]",2806,2098,1489369,2199753
3,"[4, 5, 6]",1007,865,173533,373680
3,"[4, 5, 7]",1941,1415,774794,1000405
3,"[4, 5, 8]",856,720,148489,258840
3,"[4, 5, 9]",1077,929,192759,431056
3,"[4, 5, 10]",1015,783,170950,306153
