method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
CONS-CC,7,"[0, 3, 5, 7, 9, 10, 11]",5387,2675,2141409,3576475,0.9891663606316563,1.0,0.9983542655525401,1.0
MES,8,"[3, 11, 7, 0, 5, 9, 4, 10]",5696,2681,2155530,3592540,1.0,0.9985102420856611,1.0,0.9970221493254738
AV,8,"[0, 3, 4, 5, 7, 9, 10, 11]",5696,2681,2155530,3592540,1.0,0.9985102420856611,1.0,0.9970221493254738
greedy-CC,8,"[0, 3, 5, 6, 7, 9, 10, 11]",5629,2685,2151602,3603270,0.9882373595505618,1.0,0.998177710354298,1.0
greedy-PAV,8,"[0, 3, 4, 5, 6, 7, 9, 11]",5688,2683,2155178,3597903,0.9985955056179775,0.9992551210428305,0.9998366990948861,0.9985105196113531
PAIRS-AV,8,"[0, 3, 4, 5, 7, 9, 10, 11]",5696,2681,2155530,3592540,1.0,0.9985102420856611,1.0,0.9970221493254738
PAIRS-CC,8,"[0, 3, 4, 5, 7, 9, 10, 11]",5696,2681,2155530,3592540,1.0,0.9985102420856611,1.0,0.9970221493254738
CONS-AV,8,"[0, 3, 5, 6, 7, 9, 10, 11]",5629,2685,2151602,3603270,0.9882373595505618,1.0,0.998177710354298,1.0
CONS-CC,8,"[0, 3, 5, 6, 7, 9, 10, 11]",5629,2685,2151602,3603270,0.9882373595505618,1.0,0.998177710354298,1.0
MES,9,"[3, 11, 7, 0, 5, 9, 4, 10, 6]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
AV,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
greedy-CC,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
greedy-PAV,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
PAIRS-AV,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
PAIRS-CC,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
CONS-AV,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
CONS-CC,9,"[0, 3, 4, 5, 6, 7, 9, 10, 11]",5938,2691,2165700,3619395,1.0,1.0,1.0,1.0
MES,10,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1]",6136,2691,2168966,3619395,1.0,0.9988864142538976,1.0,0.9977736555302579
AV,10,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",6136,2691,2168966,3619395,1.0,0.9988864142538976,1.0,0.9977736555302579
greedy-CC,10,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6029,2694,2167265,3627471,0.9825619295958279,1.0,0.9992157553414853,1.0
greedy-PAV,10,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",6136,2691,2168966,3619395,1.0,0.9988864142538976,1.0,0.9977736555302579
PAIRS-AV,10,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",6136,2691,2168966,3619395,1.0,0.9988864142538976,1.0,0.9977736555302579
PAIRS-CC,10,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",6136,2691,2168966,3619395,1.0,0.9988864142538976,1.0,0.9977736555302579
CONS-AV,10,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6029,2694,2167265,3627471,0.9825619295958279,1.0,0.9992157553414853,1.0
CONS-CC,10,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6029,2694,2167265,3627471,0.9825619295958279,1.0,0.9992157553414853,1.0
MES,11,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1, 8]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
AV,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
greedy-CC,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
greedy-PAV,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
PAIRS-AV,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
PAIRS-CC,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
CONS-AV,11,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6227,2694,2170531,3627471,1.0,1.0,1.0,1.0
CONS-CC,11,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6067,2694,2167536,3627471,0.9743054440340453,1.0,0.9986201533173219,1.0
MES,12,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1, 8, 2]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
AV,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
greedy-CC,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
greedy-PAV,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
PAIRS-AV,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
PAIRS-CC,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
CONS-AV,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
CONS-CC,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6265,2694,2170800,3627471,1.0,1.0,1.0,1.0
