method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
greedy-AV,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
greedy-AV/cost,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
greedy-CC,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
greedy-PAV,6,455266,"[0, 1, 2, 3, 4, 5]",2159,716,195251,255970,1.0,1.0,1.0,1.0,True
