method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,3,164000,"[2, 4, 5]",903,692,146411,239086,1.0,0.798154555940023,0.3900018912605118,0.6368646629960231,False
greedy-AV,1,295110,[0],867,867,375411,375411,0.9601328903654485,1.0,1.0,1.0,True
greedy-AV/cost,3,164000,"[2, 4, 5]",903,692,146411,239086,1.0,0.798154555940023,0.3900018912605118,0.6368646629960231,False
greedy-AV/cost^2,3,164000,"[2, 4, 5]",903,692,146411,239086,1.0,0.798154555940023,0.3900018912605118,0.6368646629960231,False
greedy-CC,1,295110,[0],867,867,375411,375411,0.9601328903654485,1.0,1.0,1.0,True
greedy-PAV,1,295110,[0],867,867,375411,375411,0.9601328903654485,1.0,1.0,1.0,True
