subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR
3,"[2, 4, 9]",62,40,548,780,True,1.0
3,"[2, 5, 6]",58,39,521,741,True,1.0
3,"[2, 5, 7]",55,38,487,703,True,1.0
3,"[2, 5, 8]",51,37,434,666,True,1.0
3,"[2, 5, 9]",52,37,440,666,True,1.0
3,"[2, 6, 7]",65,41,573,820,True,1.0
3,"[2, 6, 8]",61,41,554,820,True,1.0
3,"[2, 6, 9]",62,40,549,780,True,1.0
3,"[2, 7, 8]",58,41,521,820,True,1.0
3,"[2, 7, 9]",59,41,528,820,True,1.0
3,"[2, 8, 9]",55,39,469,741,True,1.0
3,"[3, 4, 5]",51,36,387,630,True,1.0
3,"[3, 4, 6]",61,38,494,703,True,1.0
3,"[3, 4, 7]",58,35,431,595,True,1.0
3,"[3, 4, 8]",54,36,419,630,True,1.0
3,"[3, 4, 9]",55,38,430,703,True,1.0
3,"[3, 5, 6]",51,33,372,528,True,1.0
3,"[3, 5, 7]",48,30,309,435,True,1.0
3,"[3, 5, 8]",44,31,285,465,True,1.0
3,"[3, 5, 9]",45,30,287,435,True,1.0
3,"[3, 6, 7]",58,35,419,595,True,1.0
3,"[3, 6, 8]",54,38,421,703,True,1.0
3,"[3, 6, 9]",55,36,414,630,True,1.0
3,"[3, 7, 8]",51,34,355,561,True,1.0
3,"[3, 7, 9]",52,34,360,561,True,1.0
3,"[3, 8, 9]",48,33,330,528,True,1.0
3,"[4, 5, 6]",53,37,426,666,True,1.0
3,"[4, 5, 7]",50,34,369,561,True,1.0
3,"[4, 5, 8]",46,35,337,595,True,1.0
3,"[4, 5, 9]",47,36,354,630,True,1.0
3,"[4, 6, 7]",60,35,452,595,True,1.0
3,"[4, 6, 8]",56,38,454,703,True,1.0
3,"[4, 6, 9]",57,39,461,741,True,1.0
3,"[4, 7, 8]",53,36,398,630,True,1.0
3,"[4, 7, 9]",54,38,417,703,True,1.0
3,"[4, 8, 9]",50,36,375,630,True,1.0
3,"[5, 6, 7]",50,32,346,496,True,1.0
3,"[5, 6, 8]",46,35,339,595,True,1.0
3,"[5, 6, 9]",47,33,336,528,True,1.0
3,"[5, 7, 8]",43,33,282,528,True,1.0
3,"[5, 7, 9]",44,33,294,528,True,1.0
3,"[5, 8, 9]",40,32,241,496,True,1.0
3,"[6, 7, 8]",53,35,387,595,True,1.0
3,"[6, 7, 9]",54,36,392,630,True,1.0
3,"[6, 8, 9]",50,36,373,630,True,1.0
3,"[7, 8, 9]",47,35,331,595,True,1.0
4,"[0, 1, 2, 3]",102,51,937,1275,True,1.0
4,"[0, 1, 2, 4]",104,51,924,1275,True,1.0
4,"[0, 1, 2, 5]",94,48,862,1128,True,1.0
4,"[0, 1, 2, 6]",104,51,929,1275,True,1.0
4,"[0, 1, 2, 7]",101,51,916,1275,True,1.0
4,"[0, 1, 2, 8]",97,47,860,1081,True,1.0
4,"[0, 1, 2, 9]",98,51,898,1275,True,1.0
4,"[0, 1, 3, 4]",97,50,876,1225,True,1.0
4,"[0, 1, 3, 5]",87,48,807,1128,True,1.0
4,"[0, 1, 3, 6]",97,49,867,1176,True,1.0
4,"[0, 1, 3, 7]",94,49,842,1176,True,1.0
4,"[0, 1, 3, 8]",90,48,818,1128,True,1.0
4,"[0, 1, 3, 9]",91,49,844,1176,True,1.0
4,"[0, 1, 4, 5]",89,48,815,1128,True,1.0
4,"[0, 1, 4, 6]",99,49,865,1176,True,1.0
4,"[0, 1, 4, 7]",96,49,847,1176,True,1.0
4,"[0, 1, 4, 8]",92,47,812,1081,True,1.0
4,"[0, 1, 4, 9]",93,48,843,1128,True,1.0
4,"[0, 1, 5, 6]",89,47,811,1081,True,1.0
4,"[0, 1, 5, 7]",86,47,790,1081,True,1.0
4,"[0, 1, 5, 8]",82,45,744,990,True,1.0
4,"[0, 1, 5, 9]",83,47,779,1081,True,1.0
4,"[0, 1, 6, 7]",96,48,835,1128,True,1.0
4,"[0, 1, 6, 8]",92,48,816,1128,True,1.0
4,"[0, 1, 6, 9]",93,48,836,1128,True,1.0
4,"[0, 1, 7, 8]",89,48,796,1128,True,1.0
4,"[0, 1, 7, 9]",90,48,827,1128,True,1.0
4,"[0, 1, 8, 9]",86,47,777,1081,True,1.0
4,"[0, 2, 3, 4]",97,49,877,1176,True,1.0
4,"[0, 2, 3, 5]",87,47,800,1081,True,1.0
4,"[0, 2, 3, 6]",97,48,856,1128,True,1.0
4,"[0, 2, 3, 7]",94,48,831,1128,True,1.0
4,"[0, 2, 3, 8]",90,48,817,1128,True,1.0
4,"[0, 2, 3, 9]",91,48,831,1128,True,1.0
4,"[0, 2, 4, 5]",89,48,817,1128,True,1.0
4,"[0, 2, 4, 6]",99,49,867,1176,True,1.0
4,"[0, 2, 4, 7]",96,49,847,1176,True,1.0
4,"[0, 2, 4, 8]",92,48,821,1128,True,1.0
4,"[0, 2, 4, 9]",93,49,840,1176,True,1.0
4,"[0, 2, 5, 6]",89,47,797,1081,True,1.0
4,"[0, 2, 5, 7]",86,47,775,1081,True,1.0
4,"[0, 2, 5, 8]",82,45,739,990,True,1.0
4,"[0, 2, 5, 9]",83,47,763,1081,True,1.0
4,"[0, 2, 6, 7]",96,48,822,1128,True,1.0
4,"[0, 2, 6, 8]",92,47,809,1081,True,1.0
4,"[0, 2, 6, 9]",93,47,818,1081,True,1.0
4,"[0, 2, 7, 8]",89,47,788,1081,True,1.0
4,"[0, 2, 7, 9]",90,47,807,1081,True,1.0
4,"[0, 2, 8, 9]",86,46,766,1035,True,1.0
4,"[0, 3, 4, 5]",82,45,735,990,True,1.0
4,"[0, 3, 4, 6]",92,45,776,990,True,1.0
4,"[0, 3, 4, 7]",89,45,747,990,True,1.0
4,"[0, 3, 4, 8]",85,47,756,1081,True,1.0
4,"[0, 3, 4, 9]",86,47,772,1081,True,1.0
4,"[0, 3, 5, 6]",82,43,699,903,True,1.0
4,"[0, 3, 5, 7]",79,42,665,861,True,1.0
4,"[0, 3, 5, 8]",75,44,666,946,True,1.0
4,"[0, 3, 5, 9]",76,45,683,990,True,1.0
4,"[0, 3, 6, 7]",89,43,716,903,True,1.0
4,"[0, 3, 6, 8]",85,46,731,1035,True,1.0
4,"[0, 3, 6, 9]",86,46,737,1035,True,1.0
4,"[0, 3, 7, 8]",82,45,694,990,True,1.0
4,"[0, 3, 7, 9]",83,46,709,1035,True,1.0
4,"[0, 3, 8, 9]",79,46,705,1035,True,1.0
4,"[0, 4, 5, 6]",84,44,735,946,True,1.0
4,"[0, 4, 5, 7]",81,44,708,946,True,1.0
4,"[0, 4, 5, 8]",77,46,700,1035,True,1.0
4,"[0, 4, 5, 9]",78,45,722,990,True,1.0
4,"[0, 4, 6, 7]",91,44,739,946,True,1.0
4,"[0, 4, 6, 8]",87,47,752,1081,True,1.0
4,"[0, 4, 6, 9]",88,46,761,1035,True,1.0
4,"[0, 4, 7, 8]",84,47,725,1081,True,1.0
4,"[0, 4, 7, 9]",85,46,744,1035,True,1.0
4,"[0, 4, 8, 9]",81,46,727,1035,True,1.0
4,"[0, 5, 6, 7]",81,42,667,861,True,1.0
4,"[0, 5, 6, 8]",77,45,674,990,True,1.0
4,"[0, 5, 6, 9]",78,44,683,946,True,1.0
4,"[0, 5, 7, 8]",74,44,642,946,True,1.0
4,"[0, 5, 7, 9]",75,44,663,946,True,1.0
4,"[0, 5, 8, 9]",71,45,639,990,True,1.0
4,"[0, 6, 7, 8]",84,45,692,990,True,1.0
4,"[0, 6, 7, 9]",85,44,703,946,True,1.0
4,"[0, 6, 8, 9]",81,44,699,946,True,1.0
4,"[0, 7, 8, 9]",78,44,679,946,True,1.0
4,"[1, 2, 3, 4]",92,48,788,1128,True,1.0
4,"[1, 2, 3, 5]",82,46,714,1035,True,1.0
4,"[1, 2, 3, 6]",92,47,798,1081,True,1.0
4,"[1, 2, 3, 7]",89,47,777,1081,True,1.0
4,"[1, 2, 3, 8]",85,46,735,1035,True,1.0
4,"[1, 2, 3, 9]",86,48,753,1128,True,1.0
4,"[1, 2, 4, 5]",84,45,704,990,True,1.0
4,"[1, 2, 4, 6]",94,47,785,1081,True,1.0
4,"[1, 2, 4, 7]",91,47,770,1081,True,1.0
4,"[1, 2, 4, 8]",87,46,717,1035,True,1.0
4,"[1, 2, 4, 9]",88,47,740,1081,True,1.0
4,"[1, 2, 5, 6]",84,46,724,1035,True,1.0
4,"[1, 2, 5, 7]",81,45,708,990,True,1.0
4,"[1, 2, 5, 8]",77,43,643,903,True,1.0
4,"[1, 2, 5, 9]",78,46,669,1035,True,1.0
4,"[1, 2, 6, 7]",91,47,773,1081,True,1.0
4,"[1, 2, 6, 8]",87,46,741,1035,True,1.0
4,"[1, 2, 6, 9]",88,47,755,1081,True,1.0
4,"[1, 2, 7, 8]",84,46,727,1035,True,1.0
4,"[1, 2, 7, 9]",85,48,754,1128,True,1.0
4,"[1, 2, 8, 9]",81,47,684,1081,True,1.0
4,"[1, 3, 4, 5]",77,44,616,946,True,1.0
4,"[1, 3, 4, 6]",87,45,699,990,True,1.0
4,"[1, 3, 4, 7]",84,45,663,990,True,1.0
4,"[1, 3, 4, 8]",80,43,634,903,True,1.0
4,"[1, 3, 4, 9]",81,46,654,1035,True,1.0
4,"[1, 3, 5, 6]",77,43,618,903,True,1.0
4,"[1, 3, 5, 7]",74,43,583,903,True,1.0
4,"[1, 3, 5, 8]",70,39,534,741,True,1.0
4,"[1, 3, 5, 9]",71,41,552,820,True,1.0
4,"[1, 3, 6, 7]",84,44,664,946,True,1.0
4,"[1, 3, 6, 8]",80,43,641,903,True,1.0
4,"[1, 3, 6, 9]",81,44,650,946,True,1.0
4,"[1, 3, 7, 8]",77,42,604,861,True,1.0
4,"[1, 3, 7, 9]",78,44,625,946,True,1.0
4,"[1, 3, 8, 9]",74,41,574,820,True,1.0
4,"[1, 4, 5, 6]",79,44,637,946,True,1.0
4,"[1, 4, 5, 7]",76,43,605,903,True,1.0
4,"[1, 4, 5, 8]",72,43,558,903,True,1.0
4,"[1, 4, 5, 9]",73,44,583,946,True,1.0
4,"[1, 4, 6, 7]",86,43,663,903,True,1.0
4,"[1, 4, 6, 8]",82,43,649,903,True,1.0
4,"[1, 4, 6, 9]",83,44,664,946,True,1.0
4,"[1, 4, 7, 8]",79,43,619,903,True,1.0
4,"[1, 4, 7, 9]",80,45,646,990,True,1.0
4,"[1, 4, 8, 9]",76,44,593,946,True,1.0
4,"[1, 5, 6, 7]",76,43,603,903,True,1.0
4,"[1, 5, 6, 8]",72,42,572,861,True,1.0
4,"[1, 5, 6, 9]",73,42,584,861,True,1.0
4,"[1, 5, 7, 8]",69,42,542,861,True,1.0
4,"[1, 5, 7, 9]",70,43,569,903,True,1.0
4,"[1, 5, 8, 9]",66,40,497,780,True,1.0
4,"[1, 6, 7, 8]",79,42,620,861,True,1.0
4,"[1, 6, 7, 9]",80,44,640,946,True,1.0
4,"[1, 6, 8, 9]",76,43,601,903,True,1.0
4,"[1, 7, 8, 9]",73,43,587,903,True,1.0
4,"[2, 3, 4, 5]",77,44,631,946,True,1.0
4,"[2, 3, 4, 6]",87,45,715,990,True,1.0
4,"[2, 3, 4, 7]",84,45,677,990,True,1.0
4,"[2, 3, 4, 8]",80,44,657,946,True,1.0
4,"[2, 3, 4, 9]",81,45,660,990,True,1.0
4,"[2, 3, 5, 6]",77,42,626,861,True,1.0
4,"[2, 3, 5, 7]",74,42,587,861,True,1.0
4,"[2, 3, 5, 8]",70,43,562,903,True,1.0
4,"[2, 3, 5, 9]",71,42,559,861,True,1.0
4,"[2, 3, 6, 7]",84,44,670,946,True,1.0
4,"[2, 3, 6, 8]",80,44,665,946,True,1.0
4,"[2, 3, 6, 9]",81,44,655,946,True,1.0
4,"[2, 3, 7, 8]",77,44,624,946,True,1.0
4,"[2, 3, 7, 9]",78,44,623,946,True,1.0
4,"[2, 3, 8, 9]",74,44,595,946,True,1.0
4,"[2, 4, 5, 6]",79,44,647,946,True,1.0
4,"[2, 4, 5, 7]",76,43,613,903,True,1.0
4,"[2, 4, 5, 8]",72,42,574,861,True,1.0
4,"[2, 4, 5, 9]",73,42,583,861,True,1.0
4,"[2, 4, 6, 7]",86,45,681,990,True,1.0
4,"[2, 4, 6, 8]",82,45,671,990,True,1.0
4,"[2, 4, 6, 9]",83,45,672,990,True,1.0
4,"[2, 4, 7, 8]",79,45,639,990,True,1.0
4,"[2, 4, 7, 9]",80,46,649,1035,True,1.0
4,"[2, 4, 8, 9]",76,43,603,903,True,1.0
4,"[2, 5, 6, 7]",76,41,597,820,True,1.0
4,"[2, 5, 6, 8]",72,42,584,861,True,1.0
4,"[2, 5, 6, 9]",73,42,578,861,True,1.0
4,"[2, 5, 7, 8]",69,42,550,861,True,1.0
4,"[2, 5, 7, 9]",70,42,556,861,True,1.0
4,"[2, 5, 8, 9]",66,42,506,861,True,1.0
4,"[2, 6, 7, 8]",79,43,631,903,True,1.0
4,"[2, 6, 7, 9]",80,44,632,946,True,1.0
4,"[2, 6, 8, 9]",76,44,610,946,True,1.0
4,"[2, 7, 8, 9]",73,44,589,946,True,1.0
4,"[3, 4, 5, 6]",72,40,521,780,True,1.0
4,"[3, 4, 5, 7]",69,38,461,703,True,1.0
4,"[3, 4, 5, 8]",65,39,452,741,True,1.0
4,"[3, 4, 5, 9]",66,41,462,820,True,1.0
4,"[3, 4, 6, 7]",79,39,543,741,True,1.0
4,"[3, 4, 6, 8]",75,41,555,820,True,1.0
4,"[3, 4, 6, 9]",76,42,558,861,True,1.0
4,"[3, 4, 7, 8]",72,39,493,741,True,1.0
4,"[3, 4, 7, 9]",73,40,505,780,True,1.0
4,"[3, 4, 8, 9]",69,40,490,780,True,1.0
4,"[3, 5, 6, 7]",69,37,444,666,True,1.0
4,"[3, 5, 6, 8]",65,39,447,741,True,1.0
4,"[3, 5, 6, 9]",66,37,439,666,True,1.0
4,"[3, 5, 7, 8]",62,36,384,630,True,1.0
4,"[3, 5, 7, 9]",63,36,388,630,True,1.0
4,"[3, 5, 8, 9]",59,36,361,630,True,1.0
4,"[3, 6, 7, 8]",72,40,490,780,True,1.0
4,"[3, 6, 7, 9]",73,40,488,780,True,1.0
4,"[3, 6, 8, 9]",69,40,484,780,True,1.0
4,"[3, 7, 8, 9]",66,38,430,703,True,1.0
4,"[4, 5, 6, 7]",71,38,487,703,True,1.0
4,"[4, 5, 6, 8]",67,40,495,780,True,1.0
4,"[4, 5, 6, 9]",68,41,500,820,True,1.0
4,"[4, 5, 7, 8]",64,39,439,741,True,1.0
4,"[4, 5, 7, 9]",65,40,456,780,True,1.0
4,"[4, 5, 8, 9]",61,40,423,780,True,1.0
4,"[4, 6, 7, 8]",74,39,517,741,True,1.0
4,"[4, 6, 7, 9]",75,41,529,820,True,1.0
4,"[4, 6, 8, 9]",71,42,525,861,True,1.0
4,"[4, 7, 8, 9]",68,41,482,820,True,1.0
4,"[5, 6, 7, 8]",64,38,424,703,True,1.0
4,"[5, 6, 7, 9]",65,38,427,703,True,1.0
4,"[5, 6, 8, 9]",61,39,414,741,True,1.0
4,"[5, 7, 8, 9]",58,39,372,741,True,1.0
4,"[6, 7, 8, 9]",68,40,465,780,True,1.0
5,"[0, 1, 2, 3, 4]",123,53,1006,1378,True,1.0
5,"[0, 1, 2, 3, 5]",113,51,945,1275,True,1.0
5,"[0, 1, 2, 3, 6]",123,52,998,1326,True,1.0
5,"[0, 1, 2, 3, 7]",120,52,981,1326,True,1.0
5,"[0, 1, 2, 3, 8]",116,51,953,1275,True,1.0
5,"[0, 1, 2, 3, 9]",117,52,980,1326,True,1.0
5,"[0, 1, 2, 4, 5]",115,52,946,1326,True,1.0
5,"[0, 1, 2, 4, 6]",125,53,995,1378,True,1.0
5,"[0, 1, 2, 4, 7]",122,53,981,1378,True,1.0
5,"[0, 1, 2, 4, 8]",118,51,944,1275,True,1.0
5,"[0, 1, 2, 4, 9]",119,53,975,1378,True,1.0
5,"[0, 1, 2, 5, 6]",115,51,945,1275,True,1.0
5,"[0, 1, 2, 5, 7]",112,51,930,1275,True,1.0
5,"[0, 1, 2, 5, 8]",108,48,881,1128,True,1.0
5,"[0, 1, 2, 5, 9]",109,51,918,1275,True,1.0
5,"[0, 1, 2, 6, 7]",122,52,974,1326,True,1.0
5,"[0, 1, 2, 6, 8]",118,51,949,1275,True,1.0
5,"[0, 1, 2, 6, 9]",119,52,971,1326,True,1.0
5,"[0, 1, 2, 7, 8]",115,51,936,1275,True,1.0
5,"[0, 1, 2, 7, 9]",116,52,968,1326,True,1.0
5,"[0, 1, 2, 8, 9]",112,51,915,1275,True,1.0
5,"[0, 1, 3, 4, 5]",108,50,890,1225,True,1.0
5,"[0, 1, 3, 4, 6]",118,51,932,1275,True,1.0
5,"[0, 1, 3, 4, 7]",115,51,912,1275,True,1.0
5,"[0, 1, 3, 4, 8]",111,50,900,1225,True,1.0
5,"[0, 1, 3, 4, 9]",112,51,923,1275,True,1.0
5,"[0, 1, 3, 5, 6]",108,49,877,1176,True,1.0
5,"[0, 1, 3, 5, 7]",105,49,854,1176,True,1.0
5,"[0, 1, 3, 5, 8]",101,48,831,1128,True,1.0
5,"[0, 1, 3, 5, 9]",102,49,856,1176,True,1.0
5,"[0, 1, 3, 6, 7]",115,50,900,1225,True,1.0
5,"[0, 1, 3, 6, 8]",111,49,892,1176,True,1.0
5,"[0, 1, 3, 6, 9]",112,50,907,1225,True,1.0
5,"[0, 1, 3, 7, 8]",108,49,867,1176,True,1.0
5,"[0, 1, 3, 7, 9]",109,50,890,1225,True,1.0
5,"[0, 1, 3, 8, 9]",105,49,866,1176,True,1.0
5,"[0, 1, 4, 5, 6]",110,49,889,1176,True,1.0
5,"[0, 1, 4, 5, 7]",107,49,870,1176,True,1.0
5,"[0, 1, 4, 5, 8]",103,49,842,1176,True,1.0
5,"[0, 1, 4, 5, 9]",104,49,871,1176,True,1.0
5,"[0, 1, 4, 6, 7]",117,50,899,1225,True,1.0
5,"[0, 1, 4, 6, 8]",113,50,893,1225,True,1.0
5,"[0, 1, 4, 6, 9]",114,50,910,1225,True,1.0
5,"[0, 1, 4, 7, 8]",110,50,875,1225,True,1.0
5,"[0, 1, 4, 7, 9]",111,50,901,1225,True,1.0
5,"[0, 1, 4, 8, 9]",107,49,868,1176,True,1.0
5,"[0, 1, 5, 6, 7]",107,48,854,1128,True,1.0
5,"[0, 1, 5, 6, 8]",103,48,839,1128,True,1.0
5,"[0, 1, 5, 6, 9]",104,48,857,1128,True,1.0
5,"[0, 1, 5, 7, 8]",100,48,818,1128,True,1.0
5,"[0, 1, 5, 7, 9]",101,48,847,1128,True,1.0
5,"[0, 1, 5, 8, 9]",97,48,804,1128,True,1.0
5,"[0, 1, 6, 7, 8]",110,49,864,1176,True,1.0
5,"[0, 1, 6, 7, 9]",111,49,884,1176,True,1.0
5,"[0, 1, 6, 8, 9]",107,49,862,1176,True,1.0
5,"[0, 1, 7, 8, 9]",104,49,853,1176,True,1.0
5,"[0, 2, 3, 4, 5]",108,49,893,1176,True,1.0
5,"[0, 2, 3, 4, 6]",118,50,930,1225,True,1.0
5,"[0, 2, 3, 4, 7]",115,50,909,1225,True,1.0
5,"[0, 2, 3, 4, 8]",111,50,907,1225,True,1.0
5,"[0, 2, 3, 4, 9]",112,50,918,1225,True,1.0
5,"[0, 2, 3, 5, 6]",108,48,867,1128,True,1.0
5,"[0, 2, 3, 5, 7]",105,48,844,1128,True,1.0
5,"[0, 2, 3, 5, 8]",101,48,832,1128,True,1.0
5,"[0, 2, 3, 5, 9]",102,48,846,1128,True,1.0
5,"[0, 2, 3, 6, 7]",115,49,890,1176,True,1.0
5,"[0, 2, 3, 6, 8]",111,49,889,1176,True,1.0
5,"[0, 2, 3, 6, 9]",112,49,893,1176,True,1.0
5,"[0, 2, 3, 7, 8]",108,49,864,1176,True,1.0
5,"[0, 2, 3, 7, 9]",109,49,875,1176,True,1.0
5,"[0, 2, 3, 8, 9]",105,49,861,1176,True,1.0
5,"[0, 2, 4, 5, 6]",110,49,889,1176,True,1.0
5,"[0, 2, 4, 5, 7]",107,49,868,1176,True,1.0
5,"[0, 2, 4, 5, 8]",103,49,850,1176,True,1.0
5,"[0, 2, 4, 5, 9]",104,49,868,1176,True,1.0
5,"[0, 2, 4, 6, 7]",117,50,901,1225,True,1.0
5,"[0, 2, 4, 6, 8]",113,50,901,1225,True,1.0
5,"[0, 2, 4, 6, 9]",114,50,907,1225,True,1.0
5,"[0, 2, 4, 7, 8]",110,50,881,1225,True,1.0
5,"[0, 2, 4, 7, 9]",111,50,895,1225,True,1.0
5,"[0, 2, 4, 8, 9]",107,50,871,1225,True,1.0
5,"[0, 2, 5, 6, 7]",107,48,841,1128,True,1.0
5,"[0, 2, 5, 6, 8]",103,48,833,1128,True,1.0
5,"[0, 2, 5, 6, 9]",104,48,841,1128,True,1.0
5,"[0, 2, 5, 7, 8]",100,48,811,1128,True,1.0
5,"[0, 2, 5, 7, 9]",101,48,829,1128,True,1.0
5,"[0, 2, 5, 8, 9]",97,48,796,1128,True,1.0
