method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
AV,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
CC,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
PAV,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
PAIRS-AV,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
PAIRS-CC,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
CONS-AV,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
CONS-CC,1,[0],31,31,465,465,1.0,1.0,1.0,1.0
MES,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
AV,2,"[0, 2]",57,41,670,820,1.0,0.9761904761904762,0.9781021897810219,0.9523809523809523
CC,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
PAV,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
PAIRS-AV,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
PAIRS-CC,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
CONS-AV,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
CONS-CC,2,"[0, 1]",57,42,685,861,1.0,1.0,1.0,1.0
MES,3,"[0, 1, 2]",83,47,840,1081,1.0,0.9791666666666666,1.0,0.9583333333333334
AV,3,"[0, 1, 2]",83,47,840,1081,1.0,0.9791666666666666,1.0,0.9583333333333334
CC,3,"[0, 1, 3]",76,48,793,1128,0.9156626506024096,1.0,0.944047619047619,1.0
PAV,3,"[0, 1, 2]",83,47,840,1081,1.0,0.9791666666666666,1.0,0.9583333333333334
PAIRS-AV,3,"[0, 1, 2]",83,47,840,1081,1.0,0.9791666666666666,1.0,0.9583333333333334
PAIRS-CC,3,"[0, 1, 2]",83,47,840,1081,1.0,0.9791666666666666,1.0,0.9583333333333334
CONS-AV,3,"[0, 1, 3]",76,48,793,1128,0.9156626506024096,1.0,0.944047619047619,1.0
CONS-CC,3,"[0, 1, 3]",76,48,793,1128,0.9156626506024096,1.0,0.944047619047619,1.0
MES,4,"[0, 1, 2, 4]",104,51,924,1275,1.0,1.0,0.9861259338313767,1.0
AV,4,"[0, 1, 2, 6]",104,51,929,1275,1.0,1.0,0.991462113127001,1.0
CC,4,"[0, 1, 2, 3]",102,51,937,1275,0.9807692307692307,1.0,1.0,1.0
PAV,4,"[0, 1, 2, 3]",102,51,937,1275,0.9807692307692307,1.0,1.0,1.0
PAIRS-AV,4,"[0, 1, 2, 3]",102,51,937,1275,0.9807692307692307,1.0,1.0,1.0
PAIRS-CC,4,"[0, 1, 2, 3]",102,51,937,1275,0.9807692307692307,1.0,1.0,1.0
CONS-AV,4,"[0, 1, 2, 6]",104,51,929,1275,1.0,1.0,0.991462113127001,1.0
CONS-CC,4,"[0, 1, 2, 7]",101,51,916,1275,0.9711538461538461,1.0,0.9775880469583778,1.0
MES,5,"[0, 1, 2, 4, 6]",125,53,995,1378,1.0,1.0,0.989065606361829,1.0
AV,5,"[0, 1, 2, 4, 6]",125,53,995,1378,1.0,1.0,0.989065606361829,1.0
CC,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.984,1.0,1.0,1.0
PAV,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.984,1.0,1.0,1.0
PAIRS-AV,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.984,1.0,1.0,1.0
PAIRS-CC,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.984,1.0,1.0,1.0
CONS-AV,5,"[0, 1, 2, 4, 6]",125,53,995,1378,1.0,1.0,0.989065606361829,1.0
CONS-CC,5,"[0, 1, 2, 4, 6]",125,53,995,1378,1.0,1.0,0.989065606361829,1.0
MES,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
AV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
CC,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
PAV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
PAIRS-AV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
PAIRS-CC,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
CONS-AV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
CONS-CC,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,1.0,1.0,1.0,1.0
MES,7,"[0, 1, 2, 4, 3, 6, 7]",162,55,1074,1485,1.0,1.0,0.9916897506925207,1.0
AV,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,1.0,1.0,0.9916897506925207,1.0
CC,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,1.0,1.0,0.9916897506925207,1.0
PAV,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,1.0,1.0,0.9916897506925207,1.0
PAIRS-AV,7,"[0, 1, 2, 3, 4, 6, 9]",159,55,1083,1485,0.9814814814814815,1.0,1.0,1.0
PAIRS-CC,7,"[0, 1, 2, 3, 4, 6, 9]",159,55,1083,1485,0.9814814814814815,1.0,1.0,1.0
CONS-AV,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,1.0,1.0,0.9916897506925207,1.0
CONS-CC,7,"[0, 1, 2, 3, 4, 7, 9]",156,55,1073,1485,0.9629629629629629,1.0,0.9907663896583564,1.0
MES,8,"[0, 1, 2, 4, 3, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
AV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
CC,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
PAV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
PAIRS-AV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
PAIRS-CC,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
CONS-AV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
CONS-CC,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,1.0,1.0,1.0,1.0
MES,9,"[0, 1, 2, 4, 6, 3, 7, 9, 8]",191,56,1118,1540,1.0,1.0,1.0,1.0
AV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
CC,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",188,56,1109,1540,0.9842931937172775,1.0,0.9919499105545617,1.0
PAV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
PAIRS-AV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
PAIRS-CC,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
CONS-AV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
CONS-CC,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,1.0,1.0,1.0,1.0
MES,10,"[0, 1, 2, 4, 6, 3, 7, 9, 8, 5]",202,56,1121,1540,1.0,1.0,1.0,1.0
AV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
CC,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
PAV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
PAIRS-AV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
PAIRS-CC,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
CONS-AV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
CONS-CC,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0
