subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
0,[],0,0,0,0,True,1.0,0.0,0.0,0.0,0.0,1.0
1,[0],31,31,465,465,True,1.0,1.0,1.0,1.0,1.0,1.0
1,[1],26,26,325,325,True,1.0,0.8387096774193549,0.8387096774193549,0.6989247311827957,0.6989247311827957,1.0
1,[2],26,26,325,325,True,1.0,0.8387096774193549,0.8387096774193549,0.6989247311827957,0.6989247311827957,1.0
1,[3],19,19,171,171,True,1.0,0.6129032258064516,0.6129032258064516,0.36774193548387096,0.36774193548387096,1.0
1,[4],21,21,210,210,True,1.0,0.6774193548387096,0.6774193548387096,0.45161290322580644,0.45161290322580644,1.0
1,[5],11,11,55,55,True,1.0,0.3548387096774194,0.3548387096774194,0.11827956989247312,0.11827956989247312,1.0
1,[6],21,21,210,210,True,1.0,0.6774193548387096,0.6774193548387096,0.45161290322580644,0.45161290322580644,1.0
1,[7],18,18,153,153,True,1.0,0.5806451612903226,0.5806451612903226,0.32903225806451614,0.32903225806451614,1.0
1,[8],14,14,91,91,True,1.0,0.45161290322580644,0.45161290322580644,0.1956989247311828,0.1956989247311828,1.0
1,[9],15,15,105,105,True,1.0,0.4838709677419355,0.4838709677419355,0.22580645161290322,0.22580645161290322,1.0
2,"[0, 1]",57,42,685,861,True,1.0,1.0,1.0,1.0,1.0,1.0
2,"[0, 2]",57,41,670,820,True,1.0,1.0,0.9761904761904762,0.9781021897810219,0.9523809523809523,1.0
2,"[0, 3]",50,40,591,780,True,1.0,0.8771929824561403,0.9523809523809523,0.8627737226277372,0.9059233449477352,1.0
2,"[0, 4]",52,40,609,780,True,1.0,0.9122807017543859,0.9523809523809523,0.8890510948905109,0.9059233449477352,1.0
2,"[0, 5]",42,37,510,666,True,1.0,0.7368421052631579,0.8809523809523809,0.7445255474452555,0.7735191637630662,1.0
2,"[0, 6]",52,38,584,703,True,1.0,0.9122807017543859,0.9047619047619048,0.8525547445255475,0.8164924506387921,1.0
2,"[0, 7]",49,37,552,666,True,1.0,0.8596491228070176,0.8809523809523809,0.8058394160583942,0.7735191637630662,1.0
2,"[0, 8]",45,36,520,630,True,1.0,0.7894736842105263,0.8571428571428571,0.7591240875912408,0.7317073170731707,1.0
2,"[0, 9]",46,39,549,741,True,1.0,0.8070175438596491,0.9285714285714286,0.8014598540145985,0.8606271777003485,1.0
2,"[1, 2]",52,39,572,741,True,1.0,0.9122807017543859,0.9285714285714286,0.8350364963503649,0.8606271777003485,1.0
2,"[1, 3]",45,37,468,666,True,1.0,0.7894736842105263,0.8809523809523809,0.6832116788321168,0.7735191637630662,1.0
2,"[1, 4]",47,35,469,595,True,1.0,0.8245614035087719,0.8333333333333334,0.6846715328467153,0.6910569105691057,1.0
2,"[1, 5]",37,31,365,465,True,1.0,0.6491228070175439,0.7380952380952381,0.5328467153284672,0.5400696864111498,1.0
2,"[1, 6]",47,37,490,666,True,1.0,0.8245614035087719,0.8809523809523809,0.7153284671532847,0.7735191637630662,1.0
2,"[1, 7]",44,38,463,703,True,1.0,0.7719298245614035,0.9047619047619048,0.6759124087591241,0.8164924506387921,1.0
2,"[1, 8]",40,31,380,465,True,1.0,0.7017543859649122,0.7380952380952381,0.5547445255474452,0.5400696864111498,1.0
2,"[1, 9]",41,34,409,561,True,1.0,0.7192982456140351,0.8095238095238095,0.5970802919708029,0.6515679442508711,1.0
2,"[2, 3]",45,39,481,741,True,1.0,0.7894736842105263,0.9285714285714286,0.7021897810218978,0.8606271777003485,1.0
2,"[2, 4]",47,36,480,630,True,1.0,0.8245614035087719,0.8571428571428571,0.7007299270072993,0.7317073170731707,1.0
2,"[2, 5]",37,31,365,465,True,1.0,0.6491228070175439,0.7380952380952381,0.5328467153284672,0.5400696864111498,1.0
2,"[2, 6]",47,37,490,666,True,1.0,0.8245614035087719,0.8809523809523809,0.7153284671532847,0.7735191637630662,1.0
2,"[2, 7]",44,37,457,666,True,1.0,0.7719298245614035,0.8809523809523809,0.6671532846715329,0.7735191637630662,1.0
2,"[2, 8]",40,33,395,528,True,1.0,0.7017543859649122,0.7857142857142857,0.5766423357664233,0.6132404181184669,1.0
2,"[2, 9]",41,33,402,528,True,1.0,0.7192982456140351,0.7857142857142857,0.5868613138686132,0.6132404181184669,1.0
2,"[3, 4]",40,32,353,496,True,1.0,0.7017543859649122,0.7619047619047619,0.5153284671532846,0.5760743321718932,1.0
2,"[3, 5]",30,23,205,253,True,1.0,0.5263157894736842,0.5476190476190477,0.29927007299270075,0.2938443670150987,1.0
2,"[3, 6]",40,31,345,465,True,1.0,0.7017543859649122,0.7380952380952381,0.5036496350364964,0.5400696864111498,1.0
2,"[3, 7]",37,27,279,351,True,1.0,0.6491228070175439,0.6428571428571429,0.4072992700729927,0.4076655052264808,1.0
2,"[3, 8]",33,28,252,378,True,1.0,0.5789473684210527,0.6666666666666666,0.3678832116788321,0.43902439024390244,1.0
2,"[3, 9]",34,27,255,351,True,1.0,0.5964912280701754,0.6428571428571429,0.3722627737226277,0.4076655052264808,1.0
2,"[4, 5]",32,29,262,406,True,1.0,0.5614035087719298,0.6904761904761905,0.38248175182481753,0.4715447154471545,1.0
2,"[4, 6]",42,33,384,528,True,1.0,0.7368421052631579,0.7857142857142857,0.5605839416058395,0.6132404181184669,1.0
2,"[4, 7]",39,30,327,435,True,1.0,0.6842105263157895,0.7142857142857143,0.47737226277372263,0.5052264808362369,1.0
2,"[4, 8]",35,29,286,406,True,1.0,0.6140350877192983,0.6904761904761905,0.41751824817518246,0.4715447154471545,1.0
2,"[4, 9]",36,31,305,465,True,1.0,0.631578947368421,0.7380952380952381,0.44525547445255476,0.5400696864111498,1.0
