method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,191250,"[0, 1, 3, 4, 6]",281,130,5771,8385,1.0,0.935251798561151,0.9686136287344748,0.8742571160462934,True,0.11935
greedy-AV,4,192450,"[0, 1, 2, 4]",248,138,5958,9453,0.8825622775800712,0.9928057553956836,1.0,0.9856115107913668,True,0.1458722222222222
greedy-AV/cost,5,191250,"[0, 1, 3, 4, 6]",281,130,5771,8385,1.0,0.935251798561151,0.9686136287344748,0.8742571160462934,True,0.11935
greedy-AV/cost^2,5,191250,"[0, 1, 3, 4, 6]",281,130,5771,8385,1.0,0.935251798561151,0.9686136287344748,0.8742571160462934,True,0.11935
greedy-CC,4,207150,"[0, 1, 4, 5]",237,139,5732,9591,0.8434163701067615,1.0,0.9620678079892582,1.0,True,0.12503333333333333
greedy-PAV,4,192450,"[0, 1, 2, 4]",248,138,5958,9453,0.8825622775800712,0.9928057553956836,1.0,0.9856115107913668,True,0.1458722222222222
