method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1936,259,32969,33411,1.0,0.9923371647509579,0.9716769820218096,0.9847038019451813
AV,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
greedy-CC,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
greedy-PAV,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
PAIRS-AV,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
PAIRS-CC,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
CONS-AV,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
CONS-CC,1,1000000,[0],261,261,33930,33930,0.13481404958677687,1.0,1.0,1.0
