subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
11,550000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12, 3]",1796,259,32911,33411,0.9276859504132231,0.9923371647509579,0.9699675803124079,0.9847038019451813
9,380000,"[1, 5, 4, 7, 11, 9, 2, 8, 12]",1442,258,32033,33153,0.7448347107438017,0.9885057471264368,0.9440907751252579,0.9770999115826702
11,540000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 12, 3]",1741,259,32744,33411,0.8992768595041323,0.9923371647509579,0.9650456822870616,0.9847038019451813
10,450000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12]",1604,259,32648,33411,0.8285123966942148,0.9923371647509579,0.9622163277335691,0.9847038019451813
9,365000,"[1, 5, 4, 7, 11, 9, 2, 8, 6]",1491,259,32592,33411,0.7701446280991735,0.9923371647509579,0.9605658709106984,0.9847038019451813
8,320000,"[1, 5, 4, 7, 11, 9, 2, 12]",1292,257,31670,32896,0.6673553719008265,0.9846743295019157,0.9333922782198645,0.9695254936634247
7,235000,"[1, 5, 4, 7, 11, 9, 8]",1134,258,31219,33153,0.5857438016528925,0.9885057471264368,0.9201002063071029,0.9770999115826702
10,465000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 3]",1683,259,32865,33411,0.8693181818181818,0.9923371647509579,0.9686118479221928,0.9847038019451813
8,335000,"[1, 5, 4, 7, 11, 9, 2, 3]",1371,258,32234,33153,0.7081611570247934,0.9885057471264368,0.9500147362216328,0.9770999115826702
9,390000,"[1, 5, 4, 7, 11, 9, 2, 6, 12]",1454,258,32341,33153,0.7510330578512396,0.9885057471264368,0.9531682876510462,0.9770999115826702
9,405000,"[1, 5, 4, 7, 11, 9, 2, 6, 3]",1533,259,32758,33411,0.7918388429752066,0.9923371647509579,0.9654582964927793,0.9847038019451813
9,420000,"[1, 5, 4, 7, 11, 9, 2, 12, 3]",1484,258,32321,33153,0.7665289256198347,0.9885057471264368,0.9525788387857353,0.9770999115826702
8,305000,"[1, 5, 4, 7, 11, 9, 2, 6]",1341,258,32273,33153,0.6926652892561983,0.9885057471264368,0.9511641615089891,0.9770999115826702
10,480000,"[1, 5, 4, 7, 11, 9, 2, 8, 12, 3]",1634,258,32443,33153,0.84400826446281,0.9885057471264368,0.956174476864132,0.9770999115826702
9,395000,"[1, 5, 4, 7, 11, 9, 2, 8, 3]",1521,258,32363,33153,0.7856404958677686,0.9885057471264368,0.9538166814028883,0.9770999115826702
7,245000,"[1, 5, 4, 7, 11, 9, 6]",1146,258,31522,33153,0.5919421487603306,0.9885057471264368,0.9290303566165635,0.9770999115826702
10,490000,"[1, 5, 4, 7, 11, 9, 2, 6, 12, 3]",1646,259,32809,33411,0.8502066115702479,0.9923371647509579,0.9669613910993221,0.9847038019451813
8,360000,"[1, 5, 4, 7, 11, 9, 12, 3]",1289,258,31740,33153,0.6658057851239669,0.9885057471264368,0.9354553492484527,0.9770999115826702
7,260000,"[1, 5, 4, 7, 11, 9, 12]",1097,256,30532,32640,0.5666322314049587,0.9808429118773946,0.8998526377836723,0.9619805481874447
9,420000,"[1, 5, 4, 7, 11, 9, 8, 12, 3]",1439,258,32070,33153,0.7432851239669421,0.9885057471264368,0.9451812555260831,0.9770999115826702
8,305000,"[1, 5, 4, 7, 11, 9, 8, 6]",1296,259,32147,33411,0.6694214876033058,0.9923371647509579,0.9474506336575302,0.9847038019451813
8,320000,"[1, 5, 4, 7, 11, 9, 8, 12]",1247,258,31372,33153,0.6441115702479339,0.9885057471264368,0.9246094901267315,0.9770999115826702
7,235000,"[1, 5, 4, 7, 11, 10, 2]",1179,258,31788,33153,0.6089876033057852,0.9885057471264368,0.9368700265251989,0.9770999115826702
8,345000,"[1, 5, 4, 7, 11, 9, 6, 3]",1338,259,32338,33411,0.6911157024793388,0.9923371647509579,0.9530798703212496,0.9847038019451813
6,175000,"[1, 5, 4, 7, 11, 10]",984,258,30712,33153,0.5082644628099173,0.9885057471264368,0.9051576775714707,0.9770999115826702
8,335000,"[1, 5, 4, 7, 11, 9, 8, 3]",1326,258,31945,33153,0.6849173553719008,0.9885057471264368,0.9414972001178897,0.9770999115826702
9,390000,"[1, 5, 4, 7, 11, 9, 8, 6, 12]",1409,259,32238,33411,0.7277892561983471,0.9923371647509579,0.950132625994695,0.9847038019451813
7,275000,"[1, 5, 4, 7, 11, 9, 3]",1176,258,31606,33153,0.6074380165289256,0.9885057471264368,0.9315060418508694,0.9770999115826702
8,330000,"[1, 5, 4, 7, 11, 9, 6, 12]",1259,258,31631,33153,0.6503099173553719,0.9885057471264368,0.9322428529325081,0.9770999115826702
10,490000,"[1, 5, 4, 7, 11, 9, 8, 6, 12, 3]",1601,259,32665,33411,0.8269628099173554,0.9923371647509579,0.9627173592690834,0.9847038019451813
9,405000,"[1, 5, 4, 7, 11, 9, 8, 6, 3]",1488,259,32591,33411,0.768595041322314,0.9923371647509579,0.960536398467433,0.9847038019451813
9,430000,"[1, 5, 4, 7, 11, 9, 6, 12, 3]",1451,259,32419,33411,0.7494834710743802,0.9923371647509579,0.9554671382257589,0.9847038019451813
8,295000,"[1, 5, 4, 7, 11, 10, 2, 8]",1329,258,32059,33153,0.6864669421487604,0.9885057471264368,0.9448570586501621,0.9770999115826702
9,365000,"[1, 5, 4, 7, 11, 10, 2, 8, 6]",1491,259,32660,33411,0.7701446280991735,0.9923371647509579,0.9625699970527557,0.9847038019451813
10,450000,"[1, 5, 4, 7, 11, 10, 2, 8, 6, 12]",1604,259,32718,33411,0.8285123966942148,0.9923371647509579,0.9642793987621574,0.9847038019451813
11,550000,"[1, 5, 4, 7, 11, 10, 2, 8, 6, 12, 3]",1796,259,32925,33411,0.9276859504132231,0.9923371647509579,0.9703801945181255,0.9847038019451813
10,465000,"[1, 5, 4, 7, 11, 10, 2, 8, 6, 3]",1683,259,32879,33411,0.8693181818181818,0.9923371647509579,0.9690244621279104,0.9847038019451813
9,380000,"[1, 5, 4, 7, 11, 10, 2, 8, 12]",1442,258,32158,33153,0.7448347107438017,0.9885057471264368,0.9477748305334512,0.9770999115826702
10,480000,"[1, 5, 4, 7, 11, 10, 2, 8, 12, 3]",1634,258,32492,33153,0.84400826446281,0.9885057471264368,0.9576186265841439,0.9770999115826702
9,420000,"[1, 5, 4, 7, 11, 10, 2, 12, 3]",1484,258,32396,33153,0.7665289256198347,0.9885057471264368,0.9547892720306513,0.9770999115826702
7,235000,"[1, 5, 4, 7, 11, 10, 8]",1134,258,31357,33153,0.5857438016528925,0.9885057471264368,0.9241674034777483,0.9770999115826702
8,305000,"[1, 5, 4, 7, 11, 10, 2, 6]",1341,259,32453,33411,0.6926652892561983,0.9923371647509579,0.9564692012967875,0.9847038019451813
9,390000,"[1, 5, 4, 7, 11, 10, 2, 6, 12]",1454,259,32521,33411,0.7510330578512396,0.9923371647509579,0.9584733274388447,0.9847038019451813
8,305000,"[1, 5, 4, 7, 11, 10, 8, 6]",1296,259,32194,33411,0.6694214876033058,0.9923371647509579,0.9488358384910109,0.9847038019451813
7,245000,"[1, 5, 4, 7, 11, 2, 8]",1189,258,31779,33153,0.6141528925619835,0.9885057471264368,0.936604774535809,0.9770999115826702
8,320000,"[1, 5, 4, 7, 11, 10, 2, 12]",1292,258,31911,33153,0.6673553719008265,0.9885057471264368,0.9404951370468612,0.9770999115826702
