method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,281870,"[1, 2, 3, 4]",3159,1655,1294112,1368685,1.0,0.9058565955117679,0.7758228015810068,0.8205294682236934,False
greedy-AV,1,485000,[0],1827,1827,1668051,1668051,0.5783475783475783,1.0,1.0,1.0,True
greedy-AV/cost,4,281870,"[1, 2, 3, 4]",3159,1655,1294112,1368685,1.0,0.9058565955117679,0.7758228015810068,0.8205294682236934,False
greedy-AV/cost^2,4,281870,"[1, 2, 3, 4]",3159,1655,1294112,1368685,1.0,0.9058565955117679,0.7758228015810068,0.8205294682236934,False
greedy-CC,1,485000,[0],1827,1827,1668051,1668051,0.5783475783475783,1.0,1.0,1.0,True
greedy-PAV,1,485000,[0],1827,1827,1668051,1668051,0.5783475783475783,1.0,1.0,1.0,True
