method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,9,674668,"[0, 1, 2, 3, 4, 5, 6, 7, 10]",2884,738,202755,271953,1.0,1.0,1.0,1.0,True
greedy-AV,9,674668,"[0, 1, 2, 3, 4, 5, 6, 7, 10]",2884,738,202755,271953,1.0,1.0,1.0,1.0,True
greedy-AV/cost,9,674668,"[0, 1, 2, 3, 4, 5, 6, 7, 10]",2884,738,202755,271953,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,9,674668,"[0, 1, 2, 3, 4, 5, 6, 7, 10]",2884,738,202755,271953,1.0,1.0,1.0,1.0,True
greedy-CC,9,765738,"[0, 1, 2, 3, 4, 5, 7, 9, 10]",2784,732,196293,267546,0.9653259361997226,0.991869918699187,0.9681290227121403,0.9837949939879317,True
greedy-PAV,9,674668,"[0, 1, 2, 3, 4, 5, 6, 7, 10]",2884,738,202755,271953,1.0,1.0,1.0,1.0,True
