method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,775975,"[0, 1, 5, 6]",2222,1014,436133,513591,0.8956066102378073,1.0,1.0,1.0,True
greedy-AV,4,1170975,"[0, 1, 2, 5]",2481,955,427673,455535,1.0,0.9418145956607495,0.9806022474795533,0.8869606359924531,True
greedy-AV/cost,4,775975,"[0, 1, 5, 6]",2222,1014,436133,513591,0.8956066102378073,1.0,1.0,1.0,True
greedy-AV/cost^2,4,775975,"[0, 1, 5, 6]",2222,1014,436133,513591,0.8956066102378073,1.0,1.0,1.0,True
greedy-CC,4,775975,"[0, 1, 5, 6]",2222,1014,436133,513591,0.8956066102378073,1.0,1.0,1.0,True
greedy-PAV,4,1170975,"[0, 1, 2, 5]",2481,955,427673,455535,1.0,0.9418145956607495,0.9806022474795533,0.8869606359924531,True
