subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
10,781775,"[9, 8, 3, 4, 6, 7, 2, 5, 1, 0]",3958,651,199176,211575,0.9211077495927391,0.996937212863706,0.9953723600963509,0.9938791232536947
9,625210,"[9, 8, 3, 4, 6, 7, 2, 5, 0]",3429,633,185326,200028,0.7979986036769839,0.9693721286370597,0.9261576595936073,0.9396367872678247
8,424285,"[9, 8, 3, 4, 6, 7, 2, 1]",3571,649,198244,210276,0.8310449150570165,0.9938744257274119,0.9907147354849027,0.9877770366125198
9,674285,"[9, 8, 3, 4, 6, 7, 2, 1, 0]",3958,651,199176,211575,0.9211077495927391,0.996937212863706,0.9953723600963509,0.9938791232536947
8,517720,"[9, 8, 3, 4, 6, 7, 2, 0]",3429,633,185326,200028,0.7979986036769839,0.9693721286370597,0.9261576595936073,0.9396367872678247
7,282960,"[9, 8, 3, 4, 6, 7, 5]",2541,610,169544,185745,0.5913427973004421,0.9341500765696784,0.8472878831795784,0.8725420193725983
8,439525,"[9, 8, 3, 4, 6, 7, 5, 1]",3070,638,189472,203203,0.7144519432161973,0.9770290964777948,0.9468770926827318,0.9545514332152688
9,689525,"[9, 8, 3, 4, 6, 7, 5, 1, 0]",3457,641,190842,205120,0.8045147777519199,0.9816232771822359,0.9537236009635086,0.9635565910991272
8,532960,"[9, 8, 3, 4, 6, 7, 5, 0]",2928,617,173193,190036,0.6814056318361648,0.9448698315467075,0.865523582972684,0.8926991046514905
7,332035,"[9, 8, 3, 4, 6, 7, 1]",3070,638,189472,203203,0.7144519432161973,0.9770290964777948,0.9468770926827318,0.9545514332152688
8,582035,"[9, 8, 3, 4, 6, 7, 1, 0]",3457,641,190842,205120,0.8045147777519199,0.9816232771822359,0.9537236009635086,0.9635565910991272
7,425470,"[9, 8, 3, 4, 6, 7, 0]",2928,617,173193,190036,0.6814056318361648,0.9448698315467075,0.865523582972684,0.8926991046514905
6,211640,"[9, 8, 3, 4, 6, 2]",2632,624,180239,194376,0.6125203630439842,0.9555895865237366,0.9007356248313361,0.913086368718233
7,319130,"[9, 8, 3, 4, 6, 2, 5]",2632,624,180239,194376,0.6125203630439842,0.9555895865237366,0.9007356248313361,0.913086368718233
8,475695,"[9, 8, 3, 4, 6, 2, 5, 1]",3161,649,197797,210276,0.7356295089597393,0.9938744257274119,0.9884808747538755,0.9877770366125198
9,725695,"[9, 8, 3, 4, 6, 2, 5, 1, 0]",3548,651,198730,211575,0.825692343495462,0.996937212863706,0.9931434968166235,0.9938791232536947
