subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
7,432980,"[6, 8, 10, 1, 0, 5, 2]",4813,1849,1191875,1708476,0.7577141057934509,0.9762407602956704,0.9435721116698544,0.9530337691634438
7,512980,"[6, 8, 10, 1, 0, 5, 7]",5020,1831,1207131,1675365,0.7903022670025189,0.9667370644139388,0.9556498346992286,0.9345635646473892
7,567980,"[6, 8, 10, 1, 0, 5, 9]",4768,1877,1203663,1760626,0.7506297229219143,0.9910242872228088,0.9529043218868356,0.9821244388959268
6,290500,"[6, 8, 10, 1, 0, 3]",4220,1824,1163312,1662576,0.6643576826196473,0.9630411826821542,0.9209596311449454,0.9274295171841348
7,490500,"[6, 8, 10, 1, 0, 3, 11]",4316,1832,1164647,1677196,0.679471032745592,0.9672650475184794,0.9220165110770516,0.9355849455923592
8,690500,"[6, 8, 10, 1, 0, 3, 11, 12]",4408,1838,1165695,1688203,0.6939546599496221,0.9704329461457232,0.9228461816155142,0.9417249456258288
7,490500,"[6, 8, 10, 1, 0, 3, 12]",4312,1830,1164362,1673535,0.6788413098236776,0.966209081309398,0.92179088502413,0.93354274152926
7,550500,"[6, 8, 10, 1, 0, 3, 2]",4695,1856,1190919,1721440,0.7391372795969773,0.9799366420274552,0.9428152748046158,0.9602654363237872
7,630500,"[6, 8, 10, 1, 0, 3, 7]",4902,1847,1209264,1704781,0.7717254408060453,0.9751847940865892,0.9573384675795154,0.9509725989877674
7,685500,"[6, 8, 10, 1, 0, 3, 9]",4650,1890,1202483,1785105,0.7320528967254408,0.9978880675818372,0.951970150860704,0.9957794821247178
7,552500,"[6, 8, 10, 1, 0, 11, 2]",4104,1829,1142411,1671706,0.646095717884131,0.9656810982048576,0.9044129289270016,0.9325224762379712
7,632500,"[6, 8, 10, 1, 0, 11, 7]",4311,1809,1156457,1635336,0.6786838790931989,0.9551214361140444,0.9155327308194104,0.9122343140487016
7,687500,"[6, 8, 10, 1, 0, 11, 9]",4059,1862,1153837,1732591,0.6390113350125944,0.9831045406546992,0.9134585544732542,0.96648576342229
7,552500,"[6, 8, 10, 1, 0, 12, 2]",4100,1829,1142229,1671706,0.6454659949622166,0.9656810982048576,0.9042688449212763,0.9325224762379712
7,632500,"[6, 8, 10, 1, 0, 12, 7]",4307,1810,1156278,1637145,0.6780541561712846,0.955649419218585,0.9153910218247684,0.9132434228031804
7,687500,"[6, 8, 10, 1, 0, 12, 9]",4055,1864,1153767,1736316,0.6383816120906801,0.9841605068637804,0.9134031375479752,0.9685636684031816
6,352500,"[6, 8, 10, 1, 0, 2]",4008,1820,1141004,1655290,0.6309823677581864,0.9609292502639916,0.903299048728894,0.9233651908241948
7,692500,"[6, 8, 10, 1, 0, 2, 7]",4690,1832,1185047,1677196,0.7383501259445844,0.9672650475184794,0.93816658644407,0.9355849455923592
6,432500,"[6, 8, 10, 1, 0, 7]",4215,1799,1155019,1617301,0.6635705289672544,0.9498416050686378,0.914394308840108,0.902173906980143
6,487500,"[6, 8, 10, 1, 0, 9]",3963,1856,1152602,1721440,0.6238979848866498,0.9799366420274552,0.9124808415772608,0.9602654363237872
6,182580,"[6, 8, 10, 4, 0, 5]",4177,1763,1087837,1553203,0.657588161209068,0.9308342133051742,0.861208310638783,0.8664183221572725
7,380580,"[6, 8, 10, 4, 0, 5, 3]",4864,1790,1130838,1601155,0.7657430730478589,0.945089757127772,0.8952509278376632,0.8931672348133037
8,580580,"[6, 8, 10, 4, 0, 5, 3, 11]",4960,1799,1132308,1617301,0.7808564231738035,0.9498416050686378,0.8964146832685219,0.902173906980143
8,580580,"[6, 8, 10, 4, 0, 5, 3, 12]",4956,1796,1131804,1611910,0.7802267002518891,0.948257655755016,0.8960156814065132,0.8991666624829654
8,640580,"[6, 8, 10, 4, 0, 5, 3, 2]",5339,1825,1158571,1664400,0.8405226700251889,0.9635691657866948,0.9172063219628358,0.928446993341221
7,382580,"[6, 8, 10, 4, 0, 5, 11]",4273,1773,1089393,1570878,0.6727015113350125,0.9361140443505808,0.8624401497206987,0.8762779115632484
