method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,530470,"[0, 1, 3, 4, 7]",3539,2794,2019471,3901821,1.0,1.0,1.0,1.0,True,0.5806333649738965
greedy-AV,5,530470,"[0, 1, 3, 4, 7]",3539,2794,2019471,3901821,1.0,1.0,1.0,1.0,True,0.5806333649738965
greedy-AV/cost,5,530470,"[0, 1, 3, 4, 7]",3539,2794,2019471,3901821,1.0,1.0,1.0,1.0,True,0.5806333649738965
greedy-AV/cost^2,7,567970,"[1, 3, 4, 5, 6, 7, 8]",2426,1318,456929,867903,0.6855043797682961,0.4717251252684323,0.2262617289379248,0.2224353705615916,False,0.04804551146950121
greedy-CC,5,530470,"[0, 1, 3, 4, 7]",3539,2794,2019471,3901821,1.0,1.0,1.0,1.0,True,0.5806333649738965
greedy-PAV,5,530470,"[0, 1, 3, 4, 7]",3539,2794,2019471,3901821,1.0,1.0,1.0,1.0,True,0.5806333649738965
