method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1.0,1.0,1.0
AV,[0],1,0.9547200507771604,0.9050625907739124,1.0
greedy-CC,[0],1,0.9547200507771604,0.9050625907739124,1.0
greedy-PAV,[0],1,0.9547200507771604,0.9050625907739124,1.0
PAIRS-AV,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1.0,1.0,1.0
PAIRS-CC,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1.0,1.0,1.0
CONS-AV,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1.0,1.0,1.0
CONS-CC,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,1.0,1.0,1.0
