method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,7,545000,"[1, 2, 3, 4, 5, 6, 7]",866,219,22259,23871,1.0,0.9690265486725663,0.8754768928220256,0.9388790560471977,True
greedy-AV,1,1000000,[0],226,226,25425,25425,0.26096997690531176,1.0,1.0,1.0,True
greedy-AV/cost,7,545000,"[1, 2, 3, 4, 5, 6, 7]",866,219,22259,23871,1.0,0.9690265486725663,0.8754768928220256,0.9388790560471977,True
greedy-AV/cost^2,7,545000,"[1, 2, 3, 4, 5, 6, 7]",866,219,22259,23871,1.0,0.9690265486725663,0.8754768928220256,0.9388790560471977,True
greedy-CC,1,1000000,[0],226,226,25425,25425,0.26096997690531176,1.0,1.0,1.0,True
greedy-PAV,1,1000000,[0],226,226,25425,25425,0.26096997690531176,1.0,1.0,1.0,True
