method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,122000,"[0, 1, 2, 6]",3171,1374,873008,943251,0.863562091503268,0.9870689655172413,0.9727845675215504,0.974295966682367,True
greedy-AV,4,149000,"[0, 1, 2, 5]",3467,1382,893276,954271,0.9441721132897604,0.992816091954023,0.9953690084596939,0.9856786649809531,True
greedy-AV/cost,5,142000,"[0, 2, 3, 4, 6]",3672,1389,897432,963966,1.0,0.9978448275862069,1.0,0.9956927539106076,True
greedy-AV/cost^2,5,142000,"[0, 2, 3, 4, 6]",3672,1389,897432,963966,1.0,0.9978448275862069,1.0,0.9956927539106076,True
greedy-CC,4,149000,"[0, 1, 3, 5]",3356,1388,893139,962578,0.9139433551198257,0.9971264367816092,0.9952163506538657,0.994259071039606,True
greedy-PAV,4,149000,"[0, 1, 2, 5]",3467,1382,893276,954271,0.9441721132897604,0.992816091954023,0.9953690084596939,0.9856786649809531,True
