method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,120860,"[0, 1, 2, 4, 6]",736,321,37901,51360,0.9919137466307276,0.9846625766871164,0.9898406894750588,0.9695139216611608,True,0.25251388675853026
greedy-AV,5,124360,"[0, 1, 2, 4, 5]",742,326,38290,52975,1.0,1.0,1.0,1.0,True,0.27422747977624146
greedy-AV/cost,6,119270,"[1, 2, 4, 5, 6, 7]",674,283,27921,39903,0.908355795148248,0.8680981595092024,0.729198224079394,0.7532420953279849,True,0.27422747977624146
greedy-AV/cost^2,6,119270,"[1, 2, 4, 5, 6, 7]",674,283,27921,39903,0.908355795148248,0.8680981595092024,0.729198224079394,0.7532420953279849,True,0.27422747977624146
greedy-CC,5,124360,"[0, 1, 2, 4, 5]",742,326,38290,52975,1.0,1.0,1.0,1.0,True,0.27422747977624146
greedy-PAV,5,124360,"[0, 1, 2, 4, 5]",742,326,38290,52975,1.0,1.0,1.0,1.0,True,0.27422747977624146
