method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,396200,"[0, 1, 3, 7, 9]",451,291,19117,42195,1.0,1.0,1.0,1.0,True,0.15212666666666666
greedy-AV,5,396200,"[0, 1, 3, 7, 9]",451,291,19117,42195,1.0,1.0,1.0,1.0,True,0.15212666666666666
greedy-AV/cost,7,346200,"[0, 2, 3, 4, 5, 7, 9]",415,263,15877,34453,0.9201773835920176,0.9037800687285223,0.8305173405869122,0.8165185448512857,True,0.02173238095238095
greedy-AV/cost^2,7,346200,"[0, 2, 3, 4, 5, 7, 9]",415,263,15877,34453,0.9201773835920176,0.9037800687285223,0.8305173405869122,0.8165185448512857,True,0.02173238095238095
greedy-CC,5,396200,"[0, 1, 3, 7, 9]",451,291,19117,42195,1.0,1.0,1.0,1.0,True,0.15212666666666666
greedy-PAV,5,396200,"[0, 1, 3, 7, 9]",451,291,19117,42195,1.0,1.0,1.0,1.0,True,0.15212666666666666
