method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,7,397200,"[0, 1, 2, 4, 6, 7, 8]",332,178,8822,15753,0.9222222222222224,0.946808510638298,0.974806629834254,0.8961770394811697,True,0.07167275
greedy-AV,7,397200,"[0, 1, 2, 4, 6, 7, 8]",332,178,8822,15753,0.9222222222222224,0.946808510638298,0.974806629834254,0.8961770394811697,True,0.07167275
greedy-AV/cost,9,397700,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",360,188,9050,17578,1.0,1.0,1.0,1.0,True,0.23875
greedy-AV/cost^2,9,397700,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",360,188,9050,17578,1.0,1.0,1.0,1.0,True,0.23875
greedy-CC,9,397700,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",360,188,9050,17578,1.0,1.0,1.0,1.0,True,0.23875
greedy-PAV,9,397700,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",360,188,9050,17578,1.0,1.0,1.0,1.0,True,0.23875
