method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,8,383000,"[0, 2, 3, 6, 8, 9, 10, 12]",2745,1356,574852,918690,1.0,0.9783549783549783,0.9980190731484584,0.957163173769672,True
greedy-AV,6,459000,"[0, 2, 3, 4, 8, 9]",2447,1376,575993,946000,0.8914389799635701,0.9927849927849928,1.0,0.9856168700934044,True
greedy-AV/cost,8,383000,"[0, 2, 3, 6, 8, 9, 10, 12]",2745,1356,574852,918690,1.0,0.9783549783549783,0.9980190731484584,0.957163173769672,True
greedy-AV/cost^2,8,383000,"[0, 2, 3, 6, 8, 9, 10, 12]",2745,1356,574852,918690,1.0,0.9783549783549783,0.9980190731484584,0.957163173769672,True
greedy-CC,6,451400,"[0, 2, 5, 8, 9, 12]",2209,1367,552164,933661,0.804735883424408,0.9862914862914863,0.9586297055693385,0.972761133771964,True
greedy-PAV,5,454800,"[0, 2, 3, 5, 12]",2038,1277,536023,814726,0.7424408014571949,0.9213564213564214,0.9306067955686962,0.8488453383760243,True
