method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
greedy-AV,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
greedy-AV/cost,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
greedy-CC,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
greedy-PAV,3,336300,"[0, 1, 2]",1390,1130,591631,637885,1.0,1.0,1.0,1.0,True
