method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,2,214000,"[1, 2]",214,183,11046,16653,0.8136882129277566,0.6958174904942965,0.32061068702290074,0.4833541346181755,True
greedy-AV,1,414700,[0],263,263,34453,34453,1.0,1.0,1.0,1.0,True
greedy-AV/cost,2,214000,"[1, 2]",214,183,11046,16653,0.8136882129277566,0.6958174904942965,0.32061068702290074,0.4833541346181755,True
greedy-AV/cost^2,2,214000,"[1, 2]",214,183,11046,16653,0.8136882129277566,0.6958174904942965,0.32061068702290074,0.4833541346181755,True
greedy-CC,1,414700,[0],263,263,34453,34453,1.0,1.0,1.0,1.0,True
greedy-PAV,1,414700,[0],263,263,34453,34453,1.0,1.0,1.0,1.0,True
