method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",9,1.0,0.980032030417182,1.0
AV,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",9,1.0,0.980032030417182,1.0
greedy-CC,"[0, 1, 3, 4, 6, 8, 9]",7,0.9868107717836015,1.0,1.0
greedy-PAV,"[0, 1, 4, 5, 6, 7, 8, 10]",8,0.994984768262252,0.9561297081282624,1.0
PAIRS-AV,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",9,1.0,0.980032030417182,1.0
PAIRS-CC,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",9,1.0,0.980032030417182,1.0
CONS-AV,"[0, 1, 3, 4, 6, 8, 9]",7,0.9868107717836015,1.0,1.0
CONS-CC,"[0, 1, 3, 4, 6, 8, 9]",7,0.9868107717836015,1.0,1.0
