method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,5,94000,"[0, 1, 2, 3, 5]",1463,465,100358,107880,1.0,0.9978540772532188,0.996534501077383,0.9957081545064378,True
greedy-AV,5,94000,"[0, 1, 2, 3, 5]",1463,465,100358,107880,1.0,0.9978540772532188,0.996534501077383,0.9957081545064378,True
greedy-AV/cost,5,94000,"[0, 1, 2, 3, 5]",1463,465,100358,107880,1.0,0.9978540772532188,0.996534501077383,0.9957081545064378,True
greedy-AV/cost^2,5,94000,"[0, 1, 2, 3, 5]",1463,465,100358,107880,1.0,0.9978540772532188,0.996534501077383,0.9957081545064378,True
greedy-CC,4,98000,"[0, 2, 3, 4]",1140,466,96978,108345,0.7792207792207793,1.0,0.9629717894485984,1.0,True
greedy-PAV,5,94000,"[0, 1, 2, 3, 5]",1463,465,100358,107880,1.0,0.9978540772532188,0.996534501077383,0.9957081545064378,True
