method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
greedy-AV,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost^2,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
greedy-CC,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
greedy-PAV,4,39960,"[0, 1, 2, 3]",1243,572,125049,163306,1.0,1.0,1.0,1.0,True,1.0
