election,n_voters,n_projects,budget,committee_size,total_cost,ejr_abcvoting,alpha_ilp,validation,error
poland_gdynia_2020_srodmiescie-large,1020,3,361890,1,361890,True,0.18242951580791997,MISMATCH,
poland_gdynia_2020_srodmiescie-small,940,9,40210,5,36747,True,1.0,PASS,
poland_gdynia_2020_wielki-kack-large,1192,1,449730,1,448945,True,1.0,PASS,
poland_gdynia_2020_wielki-kack-small,1228,6,49970,5,49050,True,1.0,PASS,
poland_gdynia_2020_witomino-large,966,3,572760,2,572200,True,1.0,PASS,
poland_gdynia_2020_witomino-small,946,3,63640,3,25709,True,1.0,PASS,
poland_gdynia_2020_wzgorze-sw-maksymiliana-large,1277,8,317070,1,317070,True,0.22908725911535757,MISMATCH,
poland_gdynia_2020_wzgorze-sw-maksymiliana-small,1300,7,35230,3,29340,True,0.9701492537313433,MISMATCH,
poland_lodz_2020_andrzejow,1036,9,447000,5,406000,True,0.42919877371778936,MISMATCH,
poland_lodz_2020_baluty-zachodnie,2227,9,457000,2,445000,True,0.08330060408835026,MISMATCH,
poland_lodz_2020_dolina-lodki,651,4,420000,4,408000,True,1.0,PASS,
poland_lodz_2020_gorniak,759,5,538000,1,538000,True,0.051474429820154724,MISMATCH,
poland_lodz_2020_koziny,1270,9,478000,6,427900,True,1.0,PASS,
poland_lodz_2020_lagiewniki,435,5,414000,5,414000,True,1.0,PASS,
poland_lodz_2020_lublinek-pienista,1717,10,446000,7,422800,True,0.8749490419894007,MISMATCH,
poland_lodz_2020_mileszki,955,9,417000,1,417000,True,0.1080267861182752,MISMATCH,
poland_lodz_2020_nad-nerem,608,8,409000,5,310000,True,0.2858754936994546,MISMATCH,
poland_lodz_2020_nowosolna,1442,5,434000,1,434000,True,0.14138641043239533,MISMATCH,
poland_lodz_2020_nr-33,237,5,411000,4,395000,True,0.6407137064071371,MISMATCH,
poland_lodz_2020_olechow-janow,3313,12,569000,4,565500,True,0.08638717516805473,MISMATCH,
poland_lodz_2020_piastow-kurak,2079,8,552000,7,532500,True,1.0,PASS,
