method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,2,135000,"[1, 2]",1010,685,202311,234270,0.7611152976639035,0.7705286839145107,0.5576808573980351,0.5935153376098258,True
greedy-AV,2,572200,"[0, 1]",1327,889,362772,394716,1.0,1.0,1.0,1.0,True
greedy-AV/cost,2,135000,"[1, 2]",1010,685,202311,234270,0.7611152976639035,0.7705286839145107,0.5576808573980351,0.5935153376098258,True
greedy-AV/cost^2,2,135000,"[1, 2]",1010,685,202311,234270,0.7611152976639035,0.7705286839145107,0.5576808573980351,0.5935153376098258,True
greedy-CC,2,572200,"[0, 1]",1327,889,362772,394716,1.0,1.0,1.0,1.0,True
greedy-PAV,2,572200,"[0, 1]",1327,889,362772,394716,1.0,1.0,1.0,1.0,True
