method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,9,701488,"[0, 2, 3, 4, 6, 7, 8, 10, 11]",2397,1078,394380,580503,1.0,1.0,0.9992955926397032,1.0,True,0.48700848147970677
greedy-AV,4,755525,"[0, 1, 2, 3]",1862,1000,388694,499500,0.7768043387567793,0.927643784786642,0.9848881816661514,0.8604606694539046,True,0.22952717747216764
greedy-AV/cost,9,650608,"[0, 2, 3, 4, 7, 8, 9, 10, 11]",2363,1038,388177,538203,0.9858156028368794,0.9628942486085345,0.9835781866831536,0.9271321595237234,True,0.39154636157016837
greedy-AV/cost^2,9,650608,"[0, 2, 3, 4, 7, 8, 9, 10, 11]",2363,1038,388177,538203,0.9858156028368794,0.9628942486085345,0.9835781866831536,0.9271321595237234,True,0.39154636157016837
greedy-CC,7,740815,"[0, 1, 3, 4, 7, 8, 11]",2140,1047,392759,547581,0.8927826449728827,0.971243042671614,0.9951882389309225,0.9432871147952724,True,0.3384553294928574
greedy-PAV,4,755525,"[0, 1, 2, 3]",1862,1000,388694,499500,0.7768043387567793,0.927643784786642,0.9848881816661514,0.8604606694539046,True,0.22952717747216764
