method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,7,49000,"[0, 2, 3, 5, 6, 7, 8]",649,188,15836,17578,1.0,0.9082125603864735,0.9728467870745792,0.8244453824867501,False
greedy-AV,7,49000,"[0, 2, 3, 5, 6, 7, 8]",649,188,15836,17578,1.0,0.9082125603864735,0.9728467870745792,0.8244453824867501,False
greedy-AV/cost,7,49000,"[0, 2, 3, 5, 6, 7, 8]",649,188,15836,17578,1.0,0.9082125603864735,0.9728467870745792,0.8244453824867501,False
greedy-AV/cost^2,7,49000,"[0, 2, 3, 5, 6, 7, 8]",649,188,15836,17578,1.0,0.9082125603864735,0.9728467870745792,0.8244453824867501,False
greedy-CC,3,50000,"[0, 2, 4]",340,201,15485,20100,0.5238828967642527,0.9710144927536232,0.9512839415161568,0.9427325172365274,True
greedy-PAV,3,50000,"[0, 2, 4]",340,201,15485,20100,0.5238828967642527,0.9710144927536232,0.9512839415161568,0.9427325172365274,True
