subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
8,205844,"[9, 5, 7, 6, 4, 10, 0, 1]",17268,3899,6975201,7599151,0.6813178141645295,0.933445056260474,0.8733093187494672,0.8713047962891111
9,255844,"[9, 5, 7, 6, 4, 10, 0, 1, 3]",19958,3999,7300944,7994001,0.7874531465772342,0.9573856835049078,0.9140930033224862,0.9165775772635588
10,337110,"[9, 5, 7, 6, 4, 10, 0, 1, 3, 8]",22307,4020,7368286,8078190,0.8801341487472875,0.9624132152262389,0.9225243583677712,0.9262305344813827
9,287110,"[9, 5, 7, 6, 4, 10, 0, 1, 8]",19617,3927,7060843,7708701,0.7739988163345828,0.9401484318889155,0.8840318709277257,0.8838655995200867
8,206144,"[9, 5, 7, 6, 4, 10, 0, 3]",17889,3986,7267561,7942105,0.7058196883014402,0.9542734019631315,0.9099133839842316,0.9106272765380936
9,287410,"[9, 5, 7, 6, 4, 10, 0, 3, 8]",20238,4007,7336096,8026021,0.7985006904714934,0.9593009336844626,0.9184941050502617,0.9202489320737445
8,237410,"[9, 5, 7, 6, 4, 10, 0, 8]",17548,3908,7015200,7634278,0.6923653580587887,0.9355997127124731,0.8783172747124078,0.8753323940535518
7,158844,"[9, 5, 7, 6, 4, 10, 1]",13941,3459,5361296,5980611,0.5500493193923851,0.8281062963849652,0.6712451379357015,0.6857259513647533
8,208844,"[9, 5, 7, 6, 4, 10, 1, 3]",16631,3644,5929590,6637546,0.6561846518050898,0.8723964567871678,0.7423966998748356,0.7610489205162003
9,290110,"[9, 5, 7, 6, 4, 10, 1, 3, 8]",18980,3694,6079444,6820971,0.748865653975143,0.8843667704093847,0.7611587247472202,0.7820800965330119
8,240110,"[9, 5, 7, 6, 4, 10, 1, 8]",16290,3526,5556805,6214575,0.6427303215624384,0.844146516638736,0.6957232614477536,0.7125518369615766
7,159144,"[9, 5, 7, 6, 4, 10, 3]",14562,3611,5852883,6517855,0.5745511935292957,0.8644960497965046,0.732792827826802,0.7473253687177639
8,240410,"[9, 5, 7, 6, 4, 10, 3, 8]",16911,3667,6016403,6721611,0.667232195699349,0.8779028010533876,0.7532658636291987,0.7706876601201434
7,190410,"[9, 5, 7, 6, 4, 10, 8]",14221,3490,5473093,6088305,0.5610968632866443,0.8355278908307398,0.6852423491857048,0.6980739490202229
6,112144,"[9, 5, 7, 6, 4, 0]",15199,3880,6927859,7525260,0.5996843558887355,0.9288963370840316,0.8673820042866671,0.8628325889724517
7,161844,"[9, 5, 7, 6, 4, 0, 1]",17268,3899,6975201,7599151,0.6813178141645295,0.933445056260474,0.8733093187494672,0.8713047962891111
8,211844,"[9, 5, 7, 6, 4, 0, 1, 3]",19958,3999,7300944,7994001,0.7874531465772342,0.9573856835049078,0.9140930033224862,0.9165775772635588
9,293110,"[9, 5, 7, 6, 4, 0, 1, 3, 8]",22307,4020,7368286,8078190,0.8801341487472875,0.9624132152262389,0.9225243583677712,0.9262305344813827
8,243110,"[9, 5, 7, 6, 4, 0, 1, 8]",19617,3927,7060843,7708701,0.7739988163345828,0.9401484318889155,0.8840318709277257,0.8838655995200867
7,162144,"[9, 5, 7, 6, 4, 0, 3]",17889,3986,7267561,7942105,0.7058196883014402,0.9542734019631315,0.9099133839842316,0.9106272765380936
8,243410,"[9, 5, 7, 6, 4, 0, 3, 8]",20238,4007,7336096,8026021,0.7985006904714934,0.9593009336844626,0.9184941050502617,0.9202489320737445
7,193410,"[9, 5, 7, 6, 4, 0, 8]",17548,3908,7015200,7634278,0.6923653580587887,0.9355997127124731,0.8783172747124078,0.8753323940535518
6,114844,"[9, 5, 7, 6, 4, 1]",13941,3459,5361296,5980611,0.5500493193923851,0.8281062963849652,0.6712451379357015,0.6857259513647533
7,164844,"[9, 5, 7, 6, 4, 1, 3]",16631,3644,5929590,6637546,0.6561846518050898,0.8723964567871678,0.7423966998748356,0.7610489205162003
8,246110,"[9, 5, 7, 6, 4, 1, 3, 8]",18980,3694,6079444,6820971,0.748865653975143,0.8843667704093847,0.7611587247472202,0.7820800965330119
7,196110,"[9, 5, 7, 6, 4, 1, 8]",16290,3526,5556805,6214575,0.6427303215624384,0.844146516638736,0.6957232614477536,0.7125518369615766
6,115144,"[9, 5, 7, 6, 4, 3]",14562,3611,5852883,6517855,0.5745511935292957,0.8644960497965046,0.732792827826802,0.7473253687177639
7,196410,"[9, 5, 7, 6, 4, 3, 8]",16911,3667,6016403,6721611,0.667232195699349,0.8779028010533876,0.7532658636291987,0.7706876601201434
6,146410,"[9, 5, 7, 6, 4, 8]",14221,3490,5473093,6088305,0.5610968632866443,0.8355278908307398,0.6852423491857048,0.6980739490202229
5,71144,"[9, 5, 7, 6, 2]",12356,3700,6202933,6843150,0.4875123298480963,0.8858032080440508,0.7766197981217442,0.7846231002286743
6,115144,"[9, 5, 7, 6, 2, 10]",12356,3700,6202933,6843150,0.4875123298480963,0.8858032080440508,0.7766197981217442,0.7846231002286743
7,162144,"[9, 5, 7, 6, 2, 10, 0]",15683,4040,7505960,8158780,0.6187808246202406,0.9672013406751256,0.9397614225254226,0.9354708369221343
8,211844,"[9, 5, 7, 6, 2, 10, 0, 1]",17752,4052,7537492,8207326,0.7004142828960347,0.9700742159444578,0.9437092929077683,0.9410370327564651
9,261844,"[9, 5, 7, 6, 2, 10, 0, 1, 3]",20442,4129,7806807,8522256,0.8065496153087394,0.9885084989226718,0.9774280773813645,0.9771463322683882
10,343110,"[9, 5, 7, 6, 2, 10, 0, 1, 3, 8]",22791,4143,7855046,8580153,0.8992306174787926,0.9918601867368925,0.983467698064289,0.983784696710778
9,293110,"[9, 5, 7, 6, 2, 10, 0, 1, 8]",20101,4072,7601884,8288556,0.793095285066088,0.9748623413933445,0.9517713019671368,0.9503507164301498
8,212144,"[9, 5, 7, 6, 2, 10, 0, 3]",18373,4123,7788698,8497503,0.7249161570329453,0.9870720612880057,0.9751607938359536,0.9743081984265229
9,293410,"[9, 5, 7, 6, 2, 10, 0, 3, 8]",20722,4137,7837527,8555316,0.8175971592029986,0.9904237491022265,0.9812742837160613,0.9809369315820902
8,243410,"[9, 5, 7, 6, 2, 10, 0, 8]",18032,4061,7573018,8243830,0.7114618267902939,0.9722288723964568,0.9481572201944363,0.9452225148298885
7,164844,"[9, 5, 7, 6, 2, 10, 1]",14425,3726,6267667,6939675,0.5691457881238903,0.8920277711276036,0.7847246262750731,0.7956904807112843
8,214844,"[9, 5, 7, 6, 2, 10, 1, 3]",17115,3862,6719668,7455591,0.675281120536595,0.9245870241800335,0.8413160686412613,0.8548444684767982
9,296110,"[9, 5, 7, 6, 2, 10, 1, 3, 8]",19464,3889,6812998,7560216,0.7679621227066482,0.9310509935360306,0.8530011740194271,0.8668405801887182
8,246110,"[9, 5, 7, 6, 2, 10, 1, 8]",16774,3765,6396283,7085730,0.6618267902939435,0.9013646157529327,0.8008276104529171,0.8124368806738599
7,165144,"[9, 5, 7, 6, 2, 10, 3]",15046,3848,6681430,7401628,0.5936476622608009,0.9212353363658128,0.8365285934516083,0.8486571693005943
8,246410,"[9, 5, 7, 6, 2, 10, 3, 8]",17395,3877,6780180,7513626,0.6863286644308542,0.9281781182666986,0.8488922938276277,0.8614986557475393
7,196410,"[9, 5, 7, 6, 2, 10, 8]",14705,3743,6341704,7003153,0.5801933320181495,0.8960976777591573,0.7939942089053449,0.8029687524364862
6,118144,"[9, 5, 7, 6, 2, 0]",15683,4040,7505960,8158780,0.6187808246202406,0.9672013406751256,0.9397614225254226,0.9354708369221343
7,167844,"[9, 5, 7, 6, 2, 0, 1]",17752,4052,7537492,8207326,0.7004142828960347,0.9700742159444578,0.9437092929077683,0.9410370327564651
8,217844,"[9, 5, 7, 6, 2, 0, 1, 3]",20442,4129,7806807,8522256,0.8065496153087394,0.9885084989226718,0.9774280773813645,0.9771463322683882
9,299110,"[9, 5, 7, 6, 2, 0, 1, 3, 8]",22791,4143,7855046,8580153,0.8992306174787926,0.9918601867368925,0.983467698064289,0.983784696710778
8,249110,"[9, 5, 7, 6, 2, 0, 1, 8]",20101,4072,7601884,8288556,0.793095285066088,0.9748623413933445,0.9517713019671368,0.9503507164301498
7,168144,"[9, 5, 7, 6, 2, 0, 3]",18373,4123,7788698,8497503,0.7249161570329453,0.9870720612880057,0.9751607938359536,0.9743081984265229
8,249410,"[9, 5, 7, 6, 2, 0, 3, 8]",20722,4137,7837527,8555316,0.8175971592029986,0.9904237491022265,0.9812742837160613,0.9809369315820902
7,199410,"[9, 5, 7, 6, 2, 0, 8]",18032,4061,7573018,8243830,0.7114618267902939,0.9722288723964568,0.9481572201944363,0.9452225148298885
6,120844,"[9, 5, 7, 6, 2, 1]",14425,3726,6267667,6939675,0.5691457881238903,0.8920277711276036,0.7847246262750731,0.7956904807112843
7,170844,"[9, 5, 7, 6, 2, 1, 3]",17115,3862,6719668,7455591,0.675281120536595,0.9245870241800335,0.8413160686412613,0.8548444684767982
8,252110,"[9, 5, 7, 6, 2, 1, 3, 8]",19464,3889,6812998,7560216,0.7679621227066482,0.9310509935360306,0.8530011740194271,0.8668405801887182
7,202110,"[9, 5, 7, 6, 2, 1, 8]",16774,3765,6396283,7085730,0.6618267902939435,0.9013646157529327,0.8008276104529171,0.8124368806738599
6,121144,"[9, 5, 7, 6, 2, 3]",15046,3848,6681430,7401628,0.5936476622608009,0.9212353363658128,0.8365285934516083,0.8486571693005943
7,202410,"[9, 5, 7, 6, 2, 3, 8]",17395,3877,6780180,7513626,0.6863286644308542,0.9281781182666986,0.8488922938276277,0.8614986557475393
6,152410,"[9, 5, 7, 6, 2, 8]",14705,3743,6341704,7003153,0.5801933320181495,0.8960976777591573,0.7939942089053449,0.8029687524364862
5,85144,"[9, 5, 7, 6, 10]",9318,3195,4660855,5102415,0.3676464785953837,0.7649030404596601,0.5835485034538858,0.5850335994320293
6,132144,"[9, 5, 7, 6, 10, 0]",12645,3798,6669250,7210503,0.4989149733675281,0.9092650227435959,0.8350036327368751,0.8267431253250559
7,181844,"[9, 5, 7, 6, 10, 0, 1]",14714,3818,6719548,7286653,0.5805484316433221,0.9140531481924826,0.8413010443977663,0.8354743454623339
8,231844,"[9, 5, 7, 6, 10, 0, 1, 3]",17404,3929,7077740,7716556,0.6866837640560268,0.9406272444338042,0.8861474096138381,0.8847662394961645
9,313110,"[9, 5, 7, 6, 10, 0, 1, 3, 8]",19753,3953,7153351,7811128,0.7793647662260801,0.9463729949724683,0.8956140602379514,0.895609692560152
8,263110,"[9, 5, 7, 6, 10, 0, 1, 8]",17063,3849,6814679,7405476,0.6732294338133754,0.9214747426382571,0.853211638630385,0.8490983739636048
7,182144,"[9, 5, 7, 6, 10, 0, 3]",15335,3916,7043641,7665570,0.6050503057802328,0.9375149628920277,0.8818781456227305,0.878920277711276
8,263410,"[9, 5, 7, 6, 10, 0, 3, 8]",17684,3940,7120599,7759830,0.697731307950286,0.9432607134306918,0.8915134433800742,0.8897279574242086
7,213410,"[9, 5, 7, 6, 10, 0, 8]",14994,3830,6768057,7332535,0.5915959755375814,0.9169260234618147,0.8473744696285543,0.8407350919145806
6,134844,"[9, 5, 7, 6, 10, 1]",11387,3250,4785900,5279625,0.44927993687117773,0.7780703854440987,0.5992043911857271,0.6053521748821543
7,184844,"[9, 5, 7, 6, 10, 1, 3]",14077,3486,5478142,6074355,0.5554152692838824,0.8345702657409624,0.6858744942307531,0.6964744674586336
8,266110,"[9, 5, 7, 6, 10, 1, 3, 8]",16426,3547,5655244,6288831,0.6480962714539357,0.849174048360067,0.7080480239927153,0.7210658945126431
7,216110,"[9, 5, 7, 6, 10, 1, 8]",13736,3334,5023907,5556111,0.541960939041231,0.798180512329423,0.6290033505315014,0.6370535554583254
6,135144,"[9, 5, 7, 6, 10, 3]",12008,3451,5396100,5952975,0.47378181100808836,0.8261910462054106,0.6756026693573417,0.6825572580001597
7,216410,"[9, 5, 7, 6, 10, 3, 8]",14357,3519,5589157,6189921,0.5664628131781416,0.8424706727316256,0.6997737974939813,0.7097250542791808
6,166410,"[9, 5, 7, 6, 10, 8]",11667,3293,4928813,5420278,0.46032748076543695,0.7883648551592052,0.6170973887739604,0.6214791913755037
5,88144,"[9, 5, 7, 6, 0]",12645,3798,6669250,7210503,0.4989149733675281,0.9092650227435959,0.8350036327368751,0.8267431253250559
6,137844,"[9, 5, 7, 6, 0, 1]",14714,3818,6719548,7286653,0.5805484316433221,0.9140531481924826,0.8413010443977663,0.8354743454623339
7,187844,"[9, 5, 7, 6, 0, 1, 3]",17404,3929,7077740,7716556,0.6866837640560268,0.9406272444338042,0.8861474096138381,0.8847662394961645
8,269110,"[9, 5, 7, 6, 0, 1, 3, 8]",19753,3953,7153351,7811128,0.7793647662260801,0.9463729949724683,0.8956140602379514,0.895609692560152
7,219110,"[9, 5, 7, 6, 0, 1, 8]",17063,3849,6814679,7405476,0.6732294338133754,0.9214747426382571,0.853211638630385,0.8490983739636048
6,138144,"[9, 5, 7, 6, 0, 3]",15335,3916,7043641,7665570,0.6050503057802328,0.9375149628920277,0.8818781456227305,0.878920277711276
7,219410,"[9, 5, 7, 6, 0, 3, 8]",17684,3940,7120599,7759830,0.697731307950286,0.9432607134306918,0.8915134433800742,0.8897279574242086
6,169410,"[9, 5, 7, 6, 0, 8]",14994,3830,6768057,7332535,0.5915959755375814,0.9169260234618147,0.8473744696285543,0.8407350919145806
5,90844,"[9, 5, 7, 6, 1]",11387,3250,4785900,5279625,0.44927993687117773,0.7780703854440987,0.5992043911857271,0.6053521748821543
6,140844,"[9, 5, 7, 6, 1, 3]",14077,3486,5478142,6074355,0.5554152692838824,0.8345702657409624,0.6858744942307531,0.6964744674586336
7,222110,"[9, 5, 7, 6, 1, 3, 8]",16426,3547,5655244,6288831,0.6480962714539357,0.849174048360067,0.7080480239927153,0.7210658945126431
6,172110,"[9, 5, 7, 6, 1, 8]",13736,3334,5023907,5556111,0.541960939041231,0.798180512329423,0.6290033505315014,0.6370535554583254
5,91144,"[9, 5, 7, 6, 3]",12008,3451,5396100,5952975,0.47378181100808836,0.8261910462054106,0.6756026693573417,0.6825572580001597
6,172410,"[9, 5, 7, 6, 3, 8]",14357,3519,5589157,6189921,0.5664628131781416,0.8424706727316256,0.6997737974939813,0.7097250542791808
5,122410,"[9, 5, 7, 6, 8]",11667,3293,4928813,5420278,0.46032748076543695,0.7883648551592052,0.6170973887739604,0.6214791913755037
4,52794,"[9, 5, 7, 4]",9492,3260,4853947,5312170,0.3745117380153877,0.780464448168542,0.6077240136615446,0.6090837252349804
5,82794,"[9, 5, 7, 4, 2]",12530,3733,6320233,6965778,0.4943775892681002,0.893703615034714,0.7913059961380182,0.7986834030913679
6,126794,"[9, 5, 7, 4, 2, 10]",12530,3733,6320233,6965778,0.4943775892681002,0.893703615034714,0.7913059961380182,0.7986834030913679
7,173794,"[9, 5, 7, 4, 2, 10, 0]",15857,4045,7548936,8178990,0.6256460840402446,0.9683983720373474,0.9451421049290661,0.9377880786683508
8,223494,"[9, 5, 7, 4, 2, 10, 0, 1]",17926,4060,7586538,8239770,0.7072795423160386,0.9719894661240125,0.9498499516281961,0.944757002633469
9,273494,"[9, 5, 7, 4, 2, 10, 0, 1, 3]",20616,4141,7864213,8571870,0.8134148747287433,0.9913813741920038,0.984615425065271,0.9828349830351762
10,354760,"[9, 5, 7, 4, 2, 10, 0, 1, 3, 8]",22965,4156,7915081,8634090,0.9060958768987966,0.9949724682786689,0.990984201882763,0.989969014774394
9,304760,"[9, 5, 7, 4, 2, 10, 0, 1, 8]",20275,4085,7661562,8341570,0.7999605444860919,0.9779746229351209,0.9592431086612134,0.9564292049968951
8,223794,"[9, 5, 7, 4, 2, 10, 0, 3]",18547,4134,7843742,8542911,0.7317814164529493,0.9897055302848935,0.9820524143270685,0.9795145969031285
9,305060,"[9, 5, 7, 4, 2, 10, 0, 3, 8]",20896,4149,7895379,8605026,0.8244624186230025,0.9932966243715585,0.9885174715049572,0.9866365895338182
8,255060,"[9, 5, 7, 4, 2, 10, 0, 8]",18206,4070,7625138,8280415,0.7183270862102978,0.9743835288484558,0.9546827499523919,0.9494172842156051
7,176494,"[9, 5, 7, 4, 2, 10, 1]",14599,3762,6390843,7074441,0.5760110475438942,0.9006463969355997,0.8001465114144812,0.8111425045198253
8,226494,"[9, 5, 7, 4, 2, 10, 1, 3]",17289,3904,6854451,7618656,0.6821463799565989,0.9346420876226957,0.8581911737327145,0.8735412040209246
9,307760,"[9, 5, 7, 4, 2, 10, 1, 3, 8]",19638,3933,6952423,7732278,0.7748273821266523,0.9415848695235816,0.8704574669300751,0.8865688953464373
