subset_size,max_AV,max_CC,max_PAIRS,max_CONS
0,0,0,0,0
1,1340,1340,897130,897130
2,2556,2161,1463272,2333880
3,3732,2495,1973992,3111265
4,4369,2596,2074256,3368310
5,4825,2643,2109067,3491403
6,5137,2661,2130284,3539130
7,5446,2675,2144939,3576475
8,5696,2685,2155530,3603270
9,5938,2691,2165700,3619395
10,6136,2694,2168966,3627471
11,6227,2694,2170531,3627471
12,6265,2694,2170800,3627471
