method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
greedy-AV,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
greedy-AV/cost,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
greedy-CC,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
greedy-PAV,12,122063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1663,388,50428,75078,1.0,1.0,1.0,1.0,True
