method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,5,50000,"[1, 2, 4, 5, 6]",241,76,2679,2850,1.0,0.7102803738317757,0.4724034561805678,0.5025568682771998,False
greedy-AV,1,50000,[0],107,107,5671,5671,0.44398340248962653,1.0,1.0,1.0,True
greedy-AV/cost,5,50000,"[1, 2, 4, 5, 6]",241,76,2679,2850,1.0,0.7102803738317757,0.4724034561805678,0.5025568682771998,False
greedy-AV/cost^2,5,45000,"[1, 2, 4, 5, 8]",225,76,2634,2850,0.9336099585062241,0.7102803738317757,0.4644683477340857,0.5025568682771998,False
greedy-CC,1,50000,[0],107,107,5671,5671,0.44398340248962653,1.0,1.0,1.0,True
greedy-PAV,1,50000,[0],107,107,5671,5671,0.44398340248962653,1.0,1.0,1.0,True
