method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
AV,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
greedy-AV/cost,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
greedy-AV/cost^2,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
greedy-CC,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
greedy-PAV,12,598901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
PAIRS-AV,11,418901,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
PAIRS-CC,11,418901,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
CONS-AV,11,418901,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
CONS-CC,11,418901,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
