method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
greedy-AV,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
greedy-AV/cost,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
greedy-CC,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
greedy-PAV,9,928450,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",4643,2448,1641863,2995128,1.0,1.0,1.0,1.0,True
