method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
greedy-AV,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
greedy-AV/cost,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
greedy-AV/cost^2,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
greedy-CC,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
greedy-PAV,5,727820,"[0, 1, 2, 3, 4]",2250,844,285054,355746,1.0,1.0,1.0,1.0,True,0.19016170436843144
