method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
greedy-AV,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
greedy-AV/cost,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
greedy-CC,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
greedy-PAV,6,403000,"[0, 1, 2, 6, 7, 8]",980,576,86462,165600,1.0,1.0,1.0,1.0,True
