subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
9,229050,"[1, 2, 8, 10, 3, 7, 12, 6, 11]",1388,269,32833,36046,0.7187985499741066,0.96415770609319,0.9029729655400016,0.9294757742193342
8,189050,"[1, 2, 8, 10, 3, 7, 12, 11]",1226,268,32170,35778,0.6349041947177628,0.9605734767025089,0.8847391435879102,0.9225651736675176
8,464050,"[1, 2, 8, 10, 3, 7, 12, 9]",1247,274,33634,37401,0.6457793889176593,0.982078853046595,0.9250020626495421,0.9644155643227353
7,64900,"[1, 2, 8, 10, 3, 7, 0]",1218,268,34252,35778,0.6307612635939928,0.9605734767025089,0.9419982948763785,0.9225651736675176
8,94900,"[1, 2, 8, 10, 3, 7, 0, 5]",1381,271,35056,36585,0.7151734852408079,0.9713261648745519,0.9641098979676026,0.943374332791831
9,127900,"[1, 2, 8, 10, 3, 7, 0, 5, 4]",1548,274,35787,37401,0.8016571724495081,0.982078853046595,0.9842138555045241,0.9644155643227353
10,167900,"[1, 2, 8, 10, 3, 7, 0, 5, 4, 6]",1710,275,36086,37675,0.8855515277058519,0.985663082437276,0.9924369516789967,0.9714808798122793
11,292900,"[1, 2, 8, 10, 3, 7, 0, 5, 4, 6, 11]",1825,276,36250,37950,0.9451061626100467,0.989247311827957,0.9969472786777042,0.9785719811247776
10,252900,"[1, 2, 8, 10, 3, 7, 0, 5, 4, 11]",1663,275,35952,37675,0.8612118073537027,0.985663082437276,0.988751684497126,0.9714808798122793
9,134900,"[1, 2, 8, 10, 3, 7, 0, 5, 6]",1543,272,35376,36856,0.7990678404971517,0.974910394265233,0.972910536013861,0.9503622908125113
10,259900,"[1, 2, 8, 10, 3, 7, 0, 5, 6, 11]",1658,273,35540,37128,0.8586224754013465,0.978494623655914,0.9774208630125684,0.9573760346561461
9,219900,"[1, 2, 8, 10, 3, 7, 0, 5, 11]",1496,272,35221,36856,0.7747281201450026,0.974910394265233,0.9686477269602046,0.9503622908125113
9,494900,"[1, 2, 8, 10, 3, 7, 0, 5, 9]",1517,277,36147,38226,0.785603314344899,0.992831541218638,0.9941145733065647,0.9856888682602305
8,97900,"[1, 2, 8, 10, 3, 7, 0, 4]",1385,271,35014,36585,0.7172449508026929,0.9713261648745519,0.9629548142240313,0.943374332791831
9,137900,"[1, 2, 8, 10, 3, 7, 0, 4, 6]",1547,272,35362,36856,0.8011393060590367,0.974910394265233,0.9725255080993372,0.9503622908125113
