method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,2,180000,"[0, 1]",1428,1186,491585,702705,1.0,1.0,1.0,1.0,True
greedy-AV,2,180000,"[0, 1]",1428,1186,491585,702705,1.0,1.0,1.0,1.0,True
greedy-AV/cost,2,180000,"[0, 1]",1428,1186,491585,702705,1.0,1.0,1.0,1.0,True
greedy-AV/cost^2,2,170000,"[0, 3]",1341,1081,438182,583740,0.9390756302521008,0.9114671163575042,0.8913656844696237,0.8307042073131684,True
greedy-CC,2,180000,"[0, 1]",1428,1186,491585,702705,1.0,1.0,1.0,1.0,True
greedy-PAV,2,180000,"[0, 1]",1428,1186,491585,702705,1.0,1.0,1.0,1.0,True
