method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,408500,"[0, 1, 4, 6]",461,283,24835,39903,1.0,1.0,1.0,1.0,True
greedy-AV,4,408500,"[0, 1, 4, 6]",461,283,24835,39903,1.0,1.0,1.0,1.0,True
greedy-AV/cost,4,320000,"[0, 4, 5, 6]",448,280,22816,39060,0.9718004338394793,0.9893992932862191,0.9187034427219649,0.9788737688895571,True
greedy-AV/cost^2,4,320000,"[0, 4, 5, 6]",448,280,22816,39060,0.9718004338394793,0.9893992932862191,0.9187034427219649,0.9788737688895571,True
greedy-CC,4,408500,"[0, 1, 4, 6]",461,283,24835,39903,1.0,1.0,1.0,1.0,True
greedy-PAV,4,408500,"[0, 1, 4, 6]",461,283,24835,39903,1.0,1.0,1.0,1.0,True
