method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR
MES,4,352800,"[1, 3, 5, 8]",1918,1330,479901,883785,1.0,0.9320252277505255,1.0,0.8686265972513664,False
greedy-AV,2,445000,"[0, 5]",1168,1034,372365,534061,0.6089676746611054,0.7245970567624387,0.7759204502595327,0.5249009534611495,True
greedy-AV/cost,4,352800,"[1, 3, 5, 8]",1918,1330,479901,883785,1.0,0.9320252277505255,1.0,0.8686265972513664,False
greedy-AV/cost^2,4,352800,"[1, 3, 5, 8]",1918,1330,479901,883785,1.0,0.9320252277505255,1.0,0.8686265972513664,False
greedy-CC,2,445000,"[0, 5]",1168,1034,372365,534061,0.6089676746611054,0.7245970567624387,0.7759204502595327,0.5249009534611495,True
greedy-PAV,2,445000,"[0, 5]",1168,1034,372365,534061,0.6089676746611054,0.7245970567624387,0.7759204502595327,0.5249009534611495,True
