subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,800000,[3],818,818,334153,334153
1,172000,[2],860,860,369370,369370
1,600000,[6],428,428,91378,91378
1,595000,[4],794,794,314821,314821
1,800000,[0],2151,2151,2312325,2312325
1,800000,[1],1671,1671,1395285,1395285
1,800000,[5],786,786,308505,308505
2,772000,"[2, 6]",1288,1228,458978,753378
2,767000,"[2, 4]",1654,1575,681110,1239525
