subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV_global,alpha_CC_global,alpha_PAIRS_global,alpha_CONS_global,alpha_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
1,[4],20,20,190,190,True,1.0,0.20833333333333334,0.5882352941176471,0.5234159779614325,0.33868092691622104,1.0,1.0,1.0,1.0,1.0
2,"[4, 3]",38,25,265,300,True,1.0,0.3958333333333333,0.7352941176470589,0.7300275482093664,0.5347593582887701,1.0,1.0,0.9615384615384616,1.0,0.9230769230769231
3,"[4, 3, 7]",50,27,286,351,True,1.0,0.5208333333333334,0.7941176470588235,0.7878787878787878,0.6256684491978609,1.0,1.0,0.9310344827586207,0.9565217391304348,0.8645320197044335
4,"[4, 3, 7, 5]",61,30,318,435,True,1.0,0.6354166666666666,0.8823529411764706,0.8760330578512396,0.7754010695187166,1.0,1.0,0.967741935483871,0.9724770642201835,0.9354838709677419
5,"[4, 3, 7, 5, 0]",71,31,330,465,True,1.0,0.7395833333333334,0.9117647058823529,0.9090909090909091,0.8288770053475936,1.0,1.0,0.96875,0.9593023255813954,0.9375
6,"[4, 3, 2, 7, 5, 0]",81,33,354,528,True,1.0,0.84375,0.9705882352941176,0.9752066115702479,0.9411764705882353,1.0,1.0,1.0,1.0,1.0
7,"[4, 3, 7, 5, 0, 2, 1]",89,33,357,528,True,1.0,0.9270833333333334,0.9705882352941176,0.9834710743801653,0.9411764705882353,1.0,1.0,0.9705882352941176,0.9916666666666667,0.9411764705882353
8,"[4, 3, 7, 2, 5, 0, 1, 6]",96,34,363,561,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
