subset_size,max_AV,max_CC,max_PAIRS,max_CONS
0,0,0,0,0
1,20,20,190,190
2,38,26,265,325
3,50,29,299,406
4,61,31,327,465
5,71,32,344,496
6,81,33,354,528
7,89,34,360,561
8,96,34,363,561
