method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,1,[4],20,20,190,190,1.0,1.0,1.0,1.0
AV,1,[4],20,20,190,190,1.0,1.0,1.0,1.0
CC,1,[4],20,20,190,190,1.0,1.0,1.0,1.0
PAV,1,[4],20,20,190,190,1.0,1.0,1.0,1.0
MES,2,"[4, 3]",38,25,265,300,1.0,0.9615384615384616,1.0,0.9230769230769231
AV,2,"[3, 4]",38,25,265,300,1.0,0.9615384615384616,1.0,0.9230769230769231
CC,2,"[2, 4]",30,26,229,325,0.7894736842105263,1.0,0.8641509433962264,1.0
PAV,2,"[3, 4]",38,25,265,300,1.0,0.9615384615384616,1.0,0.9230769230769231
MES,3,"[4, 3, 7]",50,27,286,351,1.0,0.9310344827586207,0.9565217391304348,0.8645320197044335
AV,3,"[3, 4, 7]",50,27,286,351,1.0,0.9310344827586207,0.9565217391304348,0.8645320197044335
CC,3,"[2, 4, 5]",41,29,271,406,0.82,1.0,0.9063545150501672,1.0
PAV,3,"[3, 4, 5]",49,29,299,406,0.98,1.0,1.0,1.0
MES,4,"[4, 3, 7, 5]",61,30,318,435,1.0,0.967741935483871,0.9724770642201835,0.9354838709677419
AV,4,"[3, 4, 5, 7]",61,30,318,435,1.0,0.967741935483871,0.9724770642201835,0.9354838709677419
CC,4,"[2, 3, 4, 5]",59,31,327,465,0.9672131147540983,1.0,1.0,1.0
PAV,4,"[2, 3, 4, 5]",59,31,327,465,0.9672131147540983,1.0,1.0,1.0
MES,5,"[4, 3, 7, 5, 0]",71,31,330,465,1.0,0.96875,0.9593023255813954,0.9375
AV,5,"[2, 3, 4, 5, 7]",71,32,344,496,1.0,1.0,1.0,1.0
CC,5,"[0, 2, 3, 4, 5]",69,32,337,496,0.971830985915493,1.0,0.9796511627906976,1.0
PAV,5,"[2, 3, 4, 5, 7]",71,32,344,496,1.0,1.0,1.0,1.0
MES,6,"[4, 3, 2, 7, 5, 0]",81,33,354,528,1.0,1.0,1.0,1.0
AV,6,"[0, 2, 3, 4, 5, 7]",81,33,354,528,1.0,1.0,1.0,1.0
CC,6,"[0, 2, 3, 4, 5, 6]",76,33,343,528,0.9382716049382716,1.0,0.9689265536723164,1.0
PAV,6,"[0, 2, 3, 4, 5, 7]",81,33,354,528,1.0,1.0,1.0,1.0
MES,7,"[4, 3, 7, 5, 0, 2, 1]",89,33,357,528,1.0,0.9705882352941176,0.9916666666666667,0.9411764705882353
AV,7,"[0, 1, 2, 3, 4, 5, 7]",89,33,357,528,1.0,0.9705882352941176,0.9916666666666667,0.9411764705882353
CC,7,"[0, 2, 3, 4, 5, 6, 7]",88,34,360,561,0.9887640449438202,1.0,1.0,1.0
PAV,7,"[0, 2, 3, 4, 5, 6, 7]",88,34,360,561,0.9887640449438202,1.0,1.0,1.0
MES,8,"[4, 3, 7, 2, 5, 0, 1, 6]",96,34,363,561,1.0,1.0,1.0,1.0
AV,8,"[0, 1, 2, 3, 4, 5, 6, 7]",96,34,363,561,1.0,1.0,1.0,1.0
CC,8,"[0, 1, 2, 3, 4, 5, 6, 7]",96,34,363,561,1.0,1.0,1.0,1.0
PAV,8,"[0, 1, 2, 3, 4, 5, 6, 7]",96,34,363,561,1.0,1.0,1.0,1.0
