method,k,alpha_PAIRS,alpha_CONS,alpha_EJR,committee
MES,1,1.0,1.0,1.0,[4]
AV,1,1.0,1.0,1.0,[4]
CC,1,1.0,1.0,1.0,[4]
PAV,1,1.0,1.0,1.0,[4]
PAIRS-AV,1,1.0,1.0,1.0,[4]
PAIRS-CC,1,1.0,1.0,1.0,[4]
CONS-AV,1,1.0,1.0,1.0,[4]
CONS-CC,1,1.0,1.0,1.0,[4]
MES,2,1.0,0.9230769230769231,1.0,"[4, 3]"
AV,2,1.0,0.9230769230769231,1.0,"[3, 4]"
CC,2,0.8641509433962264,1.0,1.0,"[2, 4]"
PAV,2,1.0,0.9230769230769231,1.0,"[3, 4]"
PAIRS-AV,2,1.0,0.9230769230769231,1.0,"[3, 4]"
PAIRS-CC,2,1.0,0.9230769230769231,1.0,"[3, 4]"
CONS-AV,2,0.8867924528301887,1.0,1.0,"[4, 5]"
CONS-CC,2,0.8867924528301887,1.0,1.0,"[4, 5]"
MES,3,0.9565217391304348,0.8645320197044335,1.0,"[4, 3, 7]"
AV,3,0.9565217391304348,0.8645320197044335,1.0,"[3, 4, 7]"
CC,3,0.9063545150501672,1.0,1.0,"[2, 4, 5]"
PAV,3,1.0,1.0,1.0,"[3, 4, 5]"
PAIRS-AV,3,1.0,1.0,1.0,"[3, 4, 5]"
PAIRS-CC,3,1.0,1.0,1.0,"[3, 4, 5]"
CONS-AV,3,1.0,1.0,1.0,"[3, 4, 5]"
CONS-CC,3,1.0,1.0,1.0,"[3, 4, 5]"
MES,4,0.9724770642201835,0.9354838709677419,1.0,"[4, 3, 7, 5]"
AV,4,0.9724770642201835,0.9354838709677419,1.0,"[3, 4, 5, 7]"
CC,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
PAV,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
PAIRS-AV,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
PAIRS-CC,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
CONS-AV,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
CONS-CC,4,1.0,1.0,1.0,"[2, 3, 4, 5]"
MES,5,0.9593023255813954,0.9375,1.0,"[4, 3, 7, 5, 0]"
AV,5,1.0,1.0,1.0,"[2, 3, 4, 5, 7]"
CC,5,0.9796511627906976,1.0,1.0,"[0, 2, 3, 4, 5]"
PAV,5,1.0,1.0,1.0,"[2, 3, 4, 5, 7]"
PAIRS-AV,5,1.0,1.0,1.0,"[2, 3, 4, 5, 7]"
PAIRS-CC,5,1.0,1.0,1.0,"[2, 3, 4, 5, 7]"
CONS-AV,5,1.0,1.0,1.0,"[2, 3, 4, 5, 7]"
CONS-CC,5,0.9796511627906976,1.0,1.0,"[0, 2, 3, 4, 5]"
MES,6,1.0,1.0,1.0,"[4, 3, 2, 7, 5, 0]"
AV,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
CC,6,0.9689265536723164,1.0,1.0,"[0, 2, 3, 4, 5, 6]"
PAV,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
PAIRS-AV,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
PAIRS-CC,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
CONS-AV,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
CONS-CC,6,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 7]"
MES,7,0.9916666666666667,0.9411764705882353,1.0,"[4, 3, 7, 5, 0, 2, 1]"
AV,7,0.9916666666666667,0.9411764705882353,1.0,"[0, 1, 2, 3, 4, 5, 7]"
CC,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
PAV,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
PAIRS-AV,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
PAIRS-CC,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
CONS-AV,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
CONS-CC,7,1.0,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7]"
MES,8,1.0,1.0,1.0,"[4, 3, 7, 2, 5, 0, 1, 6]"
AV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
CC,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
PAV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
PAIRS-AV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
PAIRS-CC,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
CONS-AV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
CONS-CC,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
