method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,3,177600,"[4, 5, 7]",768,654,108593,213531,1.0,1.0,1.0,1.0,True,0.24643276721228752
greedy-AV,1,317070,[0],451,451,101475,101475,0.5872395833333334,0.6896024464831805,0.9344524969381084,0.4752237380052545,True,0.22908725911535757
greedy-AV/cost,3,177600,"[4, 5, 7]",768,654,108593,213531,1.0,1.0,1.0,1.0,True,0.24643276721228752
greedy-AV/cost^2,3,177600,"[4, 5, 7]",768,654,108593,213531,1.0,1.0,1.0,1.0,True,0.24643276721228752
greedy-CC,1,317070,[0],451,451,101475,101475,0.5872395833333334,0.6896024464831805,0.9344524969381084,0.4752237380052545,True,0.22908725911535757
greedy-PAV,1,317070,[0],451,451,101475,101475,0.5872395833333334,0.6896024464831805,0.9344524969381084,0.4752237380052545,True,0.22908725911535757
